Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.259438, 0.224159, 0.256882, 0.317024, 0.267220, 0.302513
16, 0.720436, 0.731194, 0.753098, 0.829041, 0.843124, 0.849449
32, 1.957573, 2.001770, 2.115067, 2.269936, 2.106743, 2.287529
64, 5.387688, 5.445572, 5.736282, 5.955246, 6.018227, 6.430084
128, 15.000977, 15.147827, 15.681145, 16.417549, 15.874870, 16.527519
256, 37.841072, 38.734924, 40.108925, 40.416885, 41.115967, 42.498619
512, 94.199242, 96.129425, 99.661209, 100.811058, 99.899765, 103.749557
1024, 228.115227, 231.712479, 239.563988, 239.982201, 243.190918, 250.693726
2048, 547.666107, 557.568771, 572.684380, 577.265831, 574.949165, 593.155014
4096, 1297.576691, 1319.358276, 1353.373085, 1351.643898, 1373.007812, 1404.882874
