Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000130, 0.000120, 0.000133, 0.000157, 0.000142, 0.000151
16, 0.000255, 0.000260, 0.000270, 0.000296, 0.000300, 0.000303
32, 0.000593, 0.000599, 0.000638, 0.000682, 0.000645, 0.000698
64, 0.001502, 0.001508, 0.001587, 0.001669, 0.001678, 0.001790
128, 0.003980, 0.004014, 0.004169, 0.004394, 0.004241, 0.004417
256, 0.009908, 0.010112, 0.010487, 0.010622, 0.010800, 0.011181
512, 0.024488, 0.024931, 0.025948, 0.026291, 0.025963, 0.026980
1024, 0.059456, 0.060232, 0.062458, 0.062581, 0.063445, 0.065393
2048, 0.142977, 0.145505, 0.149201, 0.151307, 0.149991, 0.154149
4096, 0.339229, 0.344723, 0.353626, 0.353178, 0.358946, 0.367191
