Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.210915, 0.199806, 0.154266, 0.280823, 0.208931, 0.155579
16, 0.541298, 0.544456, 0.347290, 0.664444, 0.672356, 0.348419
32, 1.490273, 1.527939, 0.853546, 1.897034, 1.563324, 0.854309
64, 4.754021, 4.819176, 3.160011, 5.343559, 5.481827, 3.332489
128, 12.539413, 12.826088, 8.399788, 13.865562, 13.151527, 8.475372
256, 32.411385, 32.776756, 23.058502, 35.069862, 34.845909, 24.209831
512, 82.873329, 83.792824, 62.407280, 90.240471, 87.871742, 63.774033
1024, 204.263390, 205.823784, 159.687828, 217.149696, 218.243095, 165.991264
2048, 492.527153, 496.265213, 396.271751, 526.112274, 516.443817, 404.160843
4096, 1171.361153, 1180.443596, 965.103439, 1232.563637, 1238.978348, 997.337601
