Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000117, 0.000112, 0.000095, 0.000144, 0.000124, 0.000095
16, 0.000208, 0.000210, 0.000146, 0.000252, 0.000255, 0.000145
32, 0.000465, 0.000473, 0.000279, 0.000580, 0.000495, 0.000283
64, 0.001314, 0.001333, 0.000893, 0.001493, 0.001532, 0.000949
128, 0.003353, 0.003428, 0.002265, 0.003728, 0.003543, 0.002287
256, 0.008513, 0.008622, 0.006128, 0.009288, 0.009243, 0.006437
512, 0.021630, 0.021844, 0.016464, 0.023699, 0.023040, 0.016829
1024, 0.053359, 0.053698, 0.042225, 0.057080, 0.057404, 0.043876
2048, 0.129179, 0.130355, 0.105831, 0.138569, 0.135434, 0.107006
4096, 0.308556, 0.310866, 0.257928, 0.324661, 0.326556, 0.264994
