Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 0.002965, 0.002805, 0.002742, 0.003013, 0.006855, 0.006222, 0.005888, 0.006388, 0.003384, 0.003019, 0.003131, 0.003167, 0.007350, 0.006398, 0.006681, 0.006537
200, 0.007602, 0.007283, 0.007765, 0.007779, 0.016939, 0.015613, 0.016359, 0.016066, 0.008258, 0.007818, 0.008277, 0.008344, 0.017374, 0.015952, 0.016758, 0.016526
300, 0.013412, 0.012882, 0.012411, 0.014100, 0.028997, 0.027119, 0.025314, 0.028920, 0.014546, 0.013557, 0.013100, 0.014485, 0.029855, 0.027529, 0.025618, 0.028672
400, 0.019166, 0.018483, 0.019214, 0.019396, 0.040514, 0.037971, 0.038752, 0.038689, 0.020626, 0.019384, 0.020080, 0.020197, 0.041526, 0.038538, 0.039498, 0.039207
500, 0.024850, 0.024037, 0.024452, 0.025340, 0.051918, 0.048710, 0.048524, 0.049912, 0.026731, 0.025194, 0.025491, 0.026393, 0.053262, 0.049435, 0.049388, 0.050415
600, 0.032795, 0.031824, 0.030711, 0.031563, 0.068035, 0.064247, 0.060711, 0.061556, 0.034651, 0.033610, 0.031940, 0.032822, 0.069366, 0.065595, 0.061333, 0.062313
700, 0.038870, 0.037736, 0.036760, 0.040394, 0.079917, 0.075459, 0.071760, 0.078875, 0.041172, 0.040001, 0.038191, 0.042477, 0.081175, 0.077196, 0.072821, 0.080312
800, 0.046266, 0.044966, 0.046867, 0.046938, 0.094407, 0.089332, 0.091814, 0.090922, 0.048665, 0.047442, 0.048981, 0.049307, 0.095822, 0.091124, 0.093150, 0.092525
900, 0.052494, 0.050950, 0.052003, 0.052676, 0.107115, 0.101259, 0.101554, 0.101739, 0.055564, 0.053702, 0.054621, 0.055515, 0.109283, 0.103053, 0.103023, 0.104026
1000, 0.059662, 0.058048, 0.059072, 0.060682, 0.120497, 0.114176, 0.114297, 0.116134, 0.062834, 0.061242, 0.062130, 0.063651, 0.122369, 0.116820, 0.116579, 0.118359
1100, 0.071679, 0.069881, 0.065563, 0.068154, 0.144173, 0.137141, 0.125795, 0.129982, 0.076300, 0.072219, 0.068925, 0.071336, 0.147403, 0.138778, 0.128585, 0.132380
1200, 0.078351, 0.076358, 0.074144, 0.075669, 0.156250, 0.148598, 0.141442, 0.143098, 0.083219, 0.079146, 0.077615, 0.079123, 0.160078, 0.150209, 0.143914, 0.145664
1300, 0.086277, 0.084212, 0.081217, 0.089700, 0.171160, 0.163089, 0.154231, 0.170347, 0.091787, 0.087389, 0.085147, 0.092318, 0.175908, 0.165032, 0.156960, 0.171482
1400, 0.092941, 0.090438, 0.088562, 0.096299, 0.183922, 0.175035, 0.168067, 0.182548, 0.098718, 0.094158, 0.092472, 0.099341, 0.188130, 0.177358, 0.170566, 0.184079
1500, 0.101278, 0.098615, 0.096595, 0.104339, 0.199063, 0.189432, 0.182125, 0.195948, 0.107329, 0.102700, 0.100792, 0.107383, 0.203389, 0.192003, 0.185127, 0.197494
1600, 0.110644, 0.108022, 0.112559, 0.111945, 0.217331, 0.206964, 0.212294, 0.209905, 0.117158, 0.111995, 0.115578, 0.115784, 0.222003, 0.209616, 0.214184, 0.212291
1700, 0.118466, 0.115613, 0.119163, 0.120381, 0.231740, 0.220467, 0.223149, 0.223727, 0.125397, 0.120205, 0.122846, 0.124437, 0.236022, 0.223671, 0.225656, 0.226450
1800, 0.126484, 0.123741, 0.125846, 0.127248, 0.247546, 0.236028, 0.236096, 0.237254, 0.133780, 0.127957, 0.129454, 0.131890, 0.252864, 0.238508, 0.237951, 0.239925
1900, 0.134511, 0.131523, 0.134304, 0.138572, 0.261272, 0.249022, 0.249927, 0.257293, 0.142457, 0.136619, 0.138056, 0.143359, 0.267412, 0.253276, 0.252024, 0.260368
2000, 0.142502, 0.139165, 0.142486, 0.145748, 0.276291, 0.263776, 0.264992, 0.270312, 0.150931, 0.144715, 0.146765, 0.150767, 0.283089, 0.267569, 0.267227, 0.273639
2100, 0.162783, 0.159340, 0.149787, 0.154008, 0.315218, 0.302480, 0.278117, 0.284271, 0.169852, 0.166483, 0.154469, 0.158869, 0.319884, 0.307237, 0.280982, 0.287584
2200, 0.170087, 0.166403, 0.157168, 0.162596, 0.328955, 0.315024, 0.291779, 0.300730, 0.177395, 0.174204, 0.162536, 0.168278, 0.333439, 0.320599, 0.295304, 0.304368
2300, 0.178281, 0.174628, 0.166067, 0.171455, 0.342768, 0.328318, 0.306639, 0.315759, 0.186076, 0.182552, 0.171969, 0.177383, 0.347932, 0.333884, 0.310773, 0.319263
2400, 0.187010, 0.183020, 0.177760, 0.180679, 0.358564, 0.343186, 0.328319, 0.332222, 0.195181, 0.190913, 0.183587, 0.186646, 0.363701, 0.348755, 0.331629, 0.335467
2500, 0.194118, 0.190067, 0.185779, 0.203170, 0.372489, 0.356735, 0.342874, 0.374692, 0.202095, 0.198612, 0.191557, 0.211674, 0.377788, 0.362862, 0.346695, 0.380990
2600, 0.205714, 0.201644, 0.194328, 0.213150, 0.393064, 0.375941, 0.356889, 0.390594, 0.214775, 0.210577, 0.200805, 0.221137, 0.398930, 0.382970, 0.361677, 0.395617
2700, 0.213241, 0.208787, 0.204630, 0.221502, 0.406494, 0.389757, 0.375588, 0.405689, 0.222617, 0.219002, 0.210931, 0.230400, 0.412829, 0.396315, 0.378910, 0.411675
2800, 0.221001, 0.216484, 0.212338, 0.228477, 0.420744, 0.402503, 0.388201, 0.417011, 0.230814, 0.226980, 0.218986, 0.238024, 0.427303, 0.411209, 0.392865, 0.423527
2900, 0.228355, 0.223689, 0.219375, 0.235213, 0.435081, 0.417049, 0.401651, 0.429614, 0.238754, 0.234256, 0.226252, 0.244595, 0.442314, 0.424751, 0.406755, 0.436411
3000, 0.238477, 0.233217, 0.229799, 0.245109, 0.453756, 0.433455, 0.419759, 0.446529, 0.249473, 0.244459, 0.236769, 0.255833, 0.460156, 0.442782, 0.424885, 0.454282
3100, 0.253994, 0.248609, 0.259666, 0.257243, 0.482097, 0.462295, 0.476115, 0.467986, 0.264637, 0.259190, 0.269955, 0.267756, 0.488526, 0.469880, 0.482464, 0.475612
3200, 0.261355, 0.255806, 0.266448, 0.265096, 0.494440, 0.474381, 0.486133, 0.481934, 0.272351, 0.266805, 0.276363, 0.276520, 0.501733, 0.482125, 0.493439, 0.489650
3300, 0.269491, 0.264031, 0.274184, 0.272666, 0.510245, 0.489237, 0.500069, 0.495141, 0.283059, 0.276412, 0.287818, 0.285673, 0.518669, 0.498513, 0.509575, 0.504785
