Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 9.764053, 9.164803, 9.752357, 5.056099, 19.376236, 17.402748, 18.515411, 7.007393, 10.865921, 9.703148, 8.985291, 5.313538, 19.932671, 17.113571, 15.437317, 7.248306
200, 25.656898, 24.461319, 25.779877, 14.967323, 49.164505, 45.227318, 47.509079, 22.822647, 28.205734, 25.378204, 27.109650, 15.333092, 51.196526, 44.162704, 47.340530, 23.104004
300, 44.870354, 43.078537, 40.859329, 27.675720, 84.936142, 79.035530, 73.853630, 43.634300, 48.760986, 44.879463, 41.841858, 29.000488, 87.329369, 78.881508, 71.564323, 44.746887
400, 63.933907, 61.545898, 64.731033, 41.234482, 118.569305, 110.705406, 116.048370, 65.105652, 68.589203, 65.570999, 62.600731, 42.854416, 120.808495, 113.835777, 106.700737, 66.410416
500, 83.853714, 80.869423, 81.894371, 59.496986, 153.401031, 143.573570, 144.307770, 95.221184, 90.713150, 85.789566, 84.460442, 60.231888, 158.289146, 147.132996, 143.794502, 95.449074
600, 112.421509, 108.840981, 103.004578, 74.623352, 204.277504, 192.486618, 179.783478, 118.559814, 119.811661, 115.152260, 108.621948, 76.416435, 210.108673, 196.106216, 184.335411, 119.927528
700, 131.722717, 127.546043, 122.073723, 90.553429, 238.299385, 224.545349, 212.335556, 144.277779, 140.780128, 136.619507, 127.567924, 92.780716, 244.996117, 231.903770, 215.005951, 145.967415
800, 155.652161, 150.879204, 156.746559, 106.834320, 280.828209, 265.110611, 274.167862, 170.487236, 166.755638, 159.820038, 165.452400, 109.470253, 290.114906, 271.234222, 279.951248, 172.490341
900, 181.215141, 175.845901, 177.135620, 136.885155, 323.787804, 306.106644, 306.083466, 220.443199, 191.366859, 187.273590, 186.637169, 142.141266, 329.304840, 315.458916, 312.266136, 224.797325
1000, 202.837860, 196.872383, 198.904633, 151.481529, 361.581085, 341.936501, 342.838440, 243.009476, 216.817276, 209.169624, 210.820580, 157.155190, 372.529030, 351.437096, 351.903847, 247.818588
1100, 246.516174, 239.954460, 220.763634, 169.424530, 438.788712, 417.180702, 378.413109, 270.704514, 264.436317, 249.840561, 233.654839, 176.515839, 452.962006, 423.127457, 388.149956, 276.971321
1200, 270.043343, 262.885437, 251.406006, 189.677483, 476.292587, 452.721291, 428.118011, 301.206848, 290.093277, 275.553322, 265.792709, 197.147522, 493.193169, 462.942520, 440.559921, 307.710556
1300, 296.826111, 289.071922, 273.556343, 211.410912, 522.572655, 497.037796, 464.742104, 336.196632, 319.277878, 300.085823, 289.382370, 218.947800, 541.197311, 501.928177, 478.096344, 343.124763
1400, 318.449883, 310.099503, 299.820930, 230.298767, 558.889206, 531.391060, 508.473610, 365.615814, 342.899719, 325.753525, 315.454201, 238.357422, 579.682396, 543.659622, 520.428955, 372.491539
1500, 346.671730, 337.725067, 326.479477, 252.640259, 605.484184, 576.022476, 551.329536, 400.120399, 372.231277, 354.293976, 343.874641, 261.322006, 626.852776, 588.323845, 564.866951, 407.517288
