Size, Data.List.sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.000005245208740234375, 0.000009775161743164063, 0.00000858306884765625, 0.000004291534423828125, 0.000013589859008789063, 0.00001239776611328125, 0.00000667572021484375
256, 0.000011205673217773438, 0.000021457672119140625, 0.000019073486328125, 0.000010728836059570313, 0.000030517578125, 0.000028371810913085938, 0.000017881393432617188
512, 0.00002574920654296875, 0.0000457763671875, 0.0000438690185546875, 0.000026464462280273438, 0.00006961822509765625, 0.00006365776062011719, 0.00004363059997558594
1024, 0.00006031990051269531, 0.00010704994201660156, 0.00009942054748535156, 0.00006127357482910156, 0.0001544952392578125, 0.00014710426330566406, 0.00010704994201660156
2048, 0.0001437664031982422, 0.0002429485321044922, 0.00022602081298828125, 0.00014543533325195313, 0.00035881996154785156, 0.00032973289489746094, 0.0002486705780029297
4096, 0.000331878662109375, 0.0005564689636230469, 0.0005233287811279297, 0.0003380775451660156, 0.0007846355438232422, 0.0007517337799072266, 0.0005910396575927734
8192, 0.0007596015930175781, 0.0012879371643066406, 0.0011906623840332031, 0.0007898807525634766, 0.0018334388732910156, 0.0016772747039794922, 0.0013332366943359375
16384, 0.0017757415771484375, 0.003126382827758789, 0.0028717517852783203, 0.0018308162689208984, 0.004151344299316406, 0.003958225250244141, 0.003156900405883789
32768, 0.00413966178894043, 0.00784754753112793, 0.00709223747253418, 0.004296779632568359, 0.010082006454467773, 0.00928640365600586, 0.007467746734619141
65536, 0.009774208068847656, 0.018995046615600586, 0.017347335815429688, 0.010206222534179688, 0.023113489151000977, 0.022158145904541016, 0.018137693405151367
131072, 0.022978782653808594, 0.044382572174072266, 0.04103517532348633, 0.024170875549316406, 0.05316948890686035, 0.049854278564453125, 0.04112529754638672
262144, 0.055092811584472656, 0.10203790664672852, 0.09510087966918945, 0.0578768253326416, 0.1143496036529541, 0.1106271743774414, 0.09341859817504883
524288, 0.13144874572753906, 0.2321765422821045, 0.2177729606628418, 0.13732600212097168, 0.2576138973236084, 0.2443678379058838, 0.2090311050415039
1048576, 0.31046295166015625, 0.5248801708221436, 0.49688220024108887, 0.3230466842651367, 0.5549700260162354, 0.5428998470306396, 0.47615742683410645
2097152, 0.7310247421264648, 1.1706101894378662, 1.1094212532043457, 0.752953290939331, 1.2530462741851807, 1.2111146450042725, 1.0744516849517822
