Size, Data.List.sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.000030517578125, 0.00003147125244140625, 0.0000286102294921875, 0.000030279159545898438, 0.00002002716064453125, 0.000019550323486328125, 0.000019550323486328125
256, 0.00007128715515136719, 0.00007319450378417969, 0.00006699562072753906, 0.0000705718994140625, 0.000043392181396484375, 0.000042438507080078125, 0.00004458427429199219
512, 0.00016188621520996094, 0.00016570091247558594, 0.0001583099365234375, 0.00016379356384277344, 0.00009870529174804688, 0.00009202957153320313, 0.0000972747802734375
1024, 0.00036907196044921875, 0.0003807544708251953, 0.0003669261932373047, 0.0003795623779296875, 0.0002117156982421875, 0.0002048015594482422, 0.00021767616271972656
2048, 0.0008418560028076172, 0.0008683204650878906, 0.0008418560028076172, 0.0008666515350341797, 0.00047326087951660156, 0.0004467964172363281, 0.00046825408935546875
4096, 0.0019152164459228516, 0.0019943714141845703, 0.0019199848175048828, 0.001979827880859375, 0.0010137557983398438, 0.0009860992431640625, 0.00102996826171875
8192, 0.004479169845581055, 0.0047419071197509766, 0.00452423095703125, 0.004667997360229492, 0.002270221710205078, 0.002146482467651367, 0.002239704132080078
16384, 0.010770797729492188, 0.01145482063293457, 0.01087641716003418, 0.011235237121582031, 0.005057334899902344, 0.004900932312011719, 0.005089282989501953
32768, 0.025916099548339844, 0.027872085571289063, 0.02642822265625, 0.02726268768310547, 0.011892557144165039, 0.01118326187133789, 0.011632442474365234
65536, 0.06078052520751953, 0.06559252738952637, 0.0626230239868164, 0.06440329551696777, 0.026854515075683594, 0.026168346405029297, 0.027004003524780273
131072, 0.14534640312194824, 0.1573336124420166, 0.14831185340881348, 0.15285873413085938, 0.06243777275085449, 0.06003403663635254, 0.06171226501464844
262144, 0.3469831943511963, 0.3734583854675293, 0.35706329345703125, 0.3669273853302002, 0.1394498348236084, 0.13680148124694824, 0.13899898529052734
524288, 0.8122906684875488, 0.8701720237731934, 0.8304450511932373, 0.8502931594848633, 0.314594030380249, 0.3045530319213867, 0.31060218811035156
1048576, 1.8666667938232422, 1.9829437732696533, 1.904303789138794, 1.9426982402801514, 0.6760399341583252, 0.6685171127319336, 0.6839072704315186
2097152, 4.197083234786987, 4.449535608291626, 4.275524377822876, 4.358969449996948, 1.5038666725158691, 1.4684357643127441, 1.4982366561889648
