Size, Data.List.sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.000010251998901367188, 0.000019311904907226563, 0.000019311904907226563, 0.00000858306884765625, 0.00001430511474609375, 0.0000133514404296875, 0.0000073909759521484375
256, 0.000027894973754882813, 0.000049114227294921875, 0.00004696846008300781, 0.000025272369384765625, 0.00003218650817871094, 0.000030040740966796875, 0.000019550323486328125
512, 0.00007414817810058594, 0.00011777877807617188, 0.00011444091796875, 0.00007033348083496094, 0.00007295608520507813, 0.00006699562072753906, 0.00004673004150390625
1024, 0.00019097328186035156, 0.0002830028533935547, 0.0002779960632324219, 0.00018930435180664063, 0.00016236305236816406, 0.00015425682067871094, 0.00011467933654785156
2048, 0.0004661083221435547, 0.0006701946258544922, 0.0006453990936279297, 0.00047278404235839844, 0.00037360191345214844, 0.00034427642822265625, 0.0002627372741699219
4096, 0.001104116439819336, 0.001550436019897461, 0.0014960765838623047, 0.0011196136474609375, 0.0008094310760498047, 0.0007767677307128906, 0.0006182193756103516
8192, 0.0026009082794189453, 0.003666400909423828, 0.0035333633422851563, 0.0026395320892333984, 0.001865386962890625, 0.0017201900482177734, 0.00138092041015625
16384, 0.00609898567199707, 0.008879423141479492, 0.008473634719848633, 0.006261587142944336, 0.004213809967041016, 0.004019737243652344, 0.0032510757446289063
32768, 0.014319419860839844, 0.02111196517944336, 0.01994776725769043, 0.01465606689453125, 0.010212182998657227, 0.009433269500732422, 0.007610321044921875
65536, 0.033022165298461914, 0.04957318305969238, 0.04716157913208008, 0.03388166427612305, 0.0232086181640625, 0.022294282913208008, 0.018326997756958008
131072, 0.07715916633605957, 0.11675715446472168, 0.11207699775695801, 0.07946968078613281, 0.05360078811645508, 0.05043148994445801, 0.041922569274902344
262144, 0.18469929695129395, 0.273608922958374, 0.2640800476074219, 0.1905806064605713, 0.11559343338012695, 0.11183357238769531, 0.09520888328552246
524288, 0.4524872303009033, 0.651139497756958, 0.630237340927124, 0.46465039253234863, 0.26164889335632324, 0.24902868270874023, 0.21406173706054688
1048576, 1.1009728908538818, 1.5408620834350586, 1.492206335067749, 1.1234986782073975, 0.5665724277496338, 0.5556867122650146, 0.4903712272644043
2097152, 2.6426355838775635, 3.5786855220794678, 3.4786152839660645, 2.701979398727417, 1.2881114482879639, 1.245680332183838, 1.1117310523986816
