Size, Data.List.sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 0.0007150173187255859, 0.0035054683685302734, 0.002185821533203125, 0.0017511844635009766, 0.0007677078247070313, 0.003313779830932617, 0.0021169185638427734, 0.0016779899597167969, 0.0007445812225341797, 0.007910966873168945, 0.007082462310791016, 0.00683903694152832, 0.0053560733795166016, 0.0075457096099853516, 0.006726741790771484, 0.006488323211669922, 0.005107879638671875
50000, 0.0011551380157470703, 0.007380485534667969, 0.004728555679321289, 0.0037071704864501953, 0.0013370513916015625, 0.007042884826660156, 0.004595279693603516, 0.003550291061401367, 0.0012874603271484375, 0.018225431442260742, 0.01674652099609375, 0.0166170597076416, 0.01255035400390625, 0.01740860939025879, 0.015854835510253906, 0.015632152557373047, 0.011939764022827148
75000, 0.0015833377838134766, 0.011034250259399414, 0.0071218013763427734, 0.005551815032958984, 0.0019078254699707031, 0.010624408721923828, 0.006933927536010742, 0.005356788635253906, 0.0018596649169921875, 0.030317306518554688, 0.02716851234436035, 0.02602100372314453, 0.021160125732421875, 0.028696537017822266, 0.025965213775634766, 0.024647951126098633, 0.020000457763671875
100000, 0.001971721649169922, 0.014802694320678711, 0.009557962417602539, 0.0074427127838134766, 0.0024683475494384766, 0.014181375503540039, 0.00921487808227539, 0.007107973098754883, 0.0024309158325195313, 0.04145550727844238, 0.03811478614807129, 0.03740429878234863, 0.02939748764038086, 0.03949236869812012, 0.03632092475891113, 0.03565073013305664, 0.027932167053222656
125000, 0.0023775100708007813, 0.018402814865112305, 0.011924028396606445, 0.009234905242919922, 0.003042459487915039, 0.01763296127319336, 0.011534452438354492, 0.008826255798339844, 0.0030171871185302734, 0.053167104721069336, 0.04890251159667969, 0.04709196090698242, 0.038706302642822266, 0.05061173439025879, 0.04642963409423828, 0.04495573043823242, 0.03689002990722656
150000, 0.0027718544006347656, 0.022224903106689453, 0.014370918273925781, 0.011083364486694336, 0.0034914016723632813, 0.021085023880004883, 0.013888120651245117, 0.010834932327270508, 0.003554821014404297, 0.06607174873352051, 0.06243443489074707, 0.05851626396179199, 0.047931671142578125, 0.06323957443237305, 0.058841705322265625, 0.05546236038208008, 0.04555964469909668
175000, 0.0031332969665527344, 0.025744915008544922, 0.01674795150756836, 0.012959718704223633, 0.0041141510009765625, 0.024814605712890625, 0.016330480575561523, 0.012604236602783203, 0.004102945327758789, 0.07785630226135254, 0.07314157485961914, 0.06894516944885254, 0.05735015869140625, 0.0747683048248291, 0.06885457038879395, 0.06520915031433105, 0.05426025390625
200000, 0.0035719871520996094, 0.029505252838134766, 0.019232511520385742, 0.014757871627807617, 0.004672050476074219, 0.028479337692260742, 0.018715858459472656, 0.014397859573364258, 0.004522085189819336, 0.09140563011169434, 0.08490991592407227, 0.086212158203125, 0.06689906120300293, 0.08720564842224121, 0.08004498481750488, 0.08074593544006348, 0.0631260871887207
225000, 0.003939628601074219, 0.033026933670043945, 0.021540403366088867, 0.016327619552612305, 0.0052890777587890625, 0.03183937072753906, 0.020981311798095703, 0.016139984130859375, 0.005093812942504883, 0.10342192649841309, 0.09590268135070801, 0.09524989128112793, 0.08087539672851563, 0.09848713874816895, 0.0907289981842041, 0.08939027786254883, 0.07597804069519043
250000, 0.004319667816162109, 0.03684091567993164, 0.023899078369140625, 0.018384456634521484, 0.005842447280883789, 0.03552436828613281, 0.023309707641601563, 0.017588138580322266, 0.005647420883178711, 0.11609983444213867, 0.10808968544006348, 0.10664248466491699, 0.08917737007141113, 0.11085224151611328, 0.10228681564331055, 0.10010290145874023, 0.08381032943725586
275000, 0.004713773727416992, 0.04110550880432129, 0.02628493309020996, 0.020258426666259766, 0.006429910659790039, 0.03902697563171387, 0.02533745765686035, 0.019335269927978516, 0.0061969757080078125, 0.13605594635009766, 0.12343573570251465, 0.11722588539123535, 0.09925723075866699, 0.12885403633117676, 0.1181492805480957, 0.10998702049255371, 0.0928642749786377
300000, 0.005082607269287109, 0.04408001899719238, 0.028631925582885742, 0.021776914596557617, 0.006947517395019531, 0.04225611686706543, 0.02781844139099121, 0.021108150482177734, 0.006696224212646484, 0.14731287956237793, 0.13403677940368652, 0.12942886352539063, 0.10860872268676758, 0.13942837715148926, 0.12815403938293457, 0.12218689918518066, 0.1017763614654541
325000, 0.005464076995849609, 0.0475153923034668, 0.030967235565185547, 0.023909568786621094, 0.007523298263549805, 0.04541611671447754, 0.029834985733032227, 0.02281475067138672, 0.007246255874633789, 0.15966486930847168, 0.1451740264892578, 0.14061427116394043, 0.11867284774780273, 0.15093326568603516, 0.13882827758789063, 0.13277888298034668, 0.11220526695251465
350000, 0.005818605422973633, 0.0514369010925293, 0.03309512138366699, 0.025249481201171875, 0.007862091064453125, 0.04890036582946777, 0.03210854530334473, 0.024492502212524414, 0.007763862609863281, 0.1726243495941162, 0.15839624404907227, 0.15301060676574707, 0.12897229194641113, 0.16340994834899902, 0.1518244743347168, 0.14449000358581543, 0.12172055244445801
375000, 0.006192684173583984, 0.05475139617919922, 0.03548145294189453, 0.027008056640625, 0.008419990539550781, 0.052236080169677734, 0.0343928337097168, 0.02625560760498047, 0.008337259292602539, 0.18530607223510742, 0.1714458465576172, 0.1647663116455078, 0.13950610160827637, 0.17548871040344238, 0.16363024711608887, 0.1556396484375, 0.13184642791748047
400000, 0.006562709808349609, 0.05842232704162598, 0.03768324851989746, 0.028851032257080078, 0.008969783782958984, 0.055956125259399414, 0.0366520881652832, 0.028083324432373047, 0.008887767791748047, 0.19958209991455078, 0.18630385398864746, 0.18430113792419434, 0.14985299110412598, 0.18997812271118164, 0.17694425582885742, 0.1760854721069336, 0.1418018341064453
