Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.241562, 0.212402, 0.262779, 0.390472, 0.331467, 0.372078
16, 0.538002, 0.521309, 0.582001, 0.942932, 0.961754, 0.966606
32, 1.169228, 1.155479, 1.340637, 2.536530, 2.345177, 2.560249
64, 2.810043, 2.815002, 3.198769, 6.706352, 6.808121, 7.311584
128, 7.349312, 7.291512, 8.314896, 18.897385, 18.266640, 19.073128
256, 17.810379, 18.016937, 20.308746, 47.253235, 48.242332, 49.935585
512, 41.585365, 42.685043, 46.962227, 119.432693, 118.574722, 123.432251
1024, 97.469383, 98.785469, 109.125847, 287.856659, 292.366730, 301.797699
2048, 227.986061, 233.033409, 253.676125, 699.492714, 697.907639, 721.144455
4096, 533.268227, 546.249893, 589.581154, 1653.854294, 1683.281029, 1723.713585
