Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000149, 0.000143, 0.000160, 0.000201, 0.000185, 0.000191
16, 0.000232, 0.000229, 0.000244, 0.000356, 0.000359, 0.000361
32, 0.000408, 0.000407, 0.000456, 0.000790, 0.000745, 0.000804
64, 0.000860, 0.000863, 0.000963, 0.001933, 0.001960, 0.002104
128, 0.002112, 0.002091, 0.002356, 0.005256, 0.005052, 0.005317
256, 0.005054, 0.005054, 0.005668, 0.013076, 0.013248, 0.013820
512, 0.012086, 0.012120, 0.013156, 0.033296, 0.032741, 0.034378
1024, 0.028525, 0.028301, 0.030749, 0.081507, 0.082674, 0.085381
2048, 0.066842, 0.066828, 0.071726, 0.199473, 0.198099, 0.204620
4096, 0.156986, 0.156646, 0.166821, 0.471943, 0.478666, 0.490445
