Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.247780, 0.221970, 0.200348, 0.353867, 0.267822, 0.201660
16, 0.480843, 0.443222, 0.367538, 0.755424, 0.768913, 0.368668
32, 1.023468, 0.993767, 0.775475, 2.067810, 1.657692, 0.776237
64, 2.985268, 2.883926, 2.176682, 5.905655, 6.103783, 3.383606
128, 6.796944, 6.635757, 4.936653, 15.618484, 14.772949, 8.824936
256, 15.836243, 15.585312, 11.933746, 40.298523, 40.085197, 26.463905
512, 38.999046, 38.842834, 29.997841, 105.586281, 102.812737, 71.791443
1024, 92.616592, 92.006989, 72.750397, 257.751068, 259.524269, 191.894012
2048, 215.275063, 212.977737, 171.145432, 631.809563, 620.526596, 474.720673
4096, 498.043594, 494.694298, 402.007332, 1496.142250, 1505.822098, 1190.746330
