Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000149, 0.000142, 0.000132, 0.000189, 0.000165, 0.000133
16, 0.000217, 0.000209, 0.000179, 0.000303, 0.000309, 0.000180
32, 0.000362, 0.000358, 0.000284, 0.000659, 0.000555, 0.000286
64, 0.000884, 0.000859, 0.000661, 0.001723, 0.001761, 0.001014
128, 0.001921, 0.001886, 0.001384, 0.004421, 0.004160, 0.002512
256, 0.004465, 0.004360, 0.003207, 0.011334, 0.011211, 0.007530
512, 0.011080, 0.010881, 0.007912, 0.029821, 0.028831, 0.020222
1024, 0.026486, 0.025898, 0.019191, 0.073715, 0.073964, 0.054408
2048, 0.062025, 0.060385, 0.045097, 0.181574, 0.177315, 0.135857
4096, 0.144561, 0.142622, 0.106424, 0.432214, 0.433231, 0.342497
