Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.319260, 0.290161, 0.345551, 0.397713, 0.359802, 0.386452
16, 0.848068, 0.832291, 0.890503, 0.968430, 0.989578, 1.039597
32, 2.754463, 2.838570, 2.997841, 3.022957, 2.935371, 3.098434
64, 7.140602, 7.278854, 7.655106, 7.671989, 7.798965, 8.069885
128, 18.717880, 19.207031, 19.875977, 20.350143, 19.738266, 20.628532
256, 49.571159, 50.358116, 52.272697, 51.961159, 52.621460, 54.597595
512, 119.953499, 123.009354, 127.031677, 127.240219, 125.948364, 130.778938
1024, 300.523773, 305.453224, 314.673134, 311.516815, 316.827957, 324.758820
2048, 724.020439, 735.750534, 755.174614, 753.232010, 751.294868, 773.640366
4096, 1706.521194, 1737.122200, 1777.553574, 1756.438728, 1787.684723, 1823.734772
