Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000147, 0.000140, 0.000155, 0.000177, 0.000168, 0.000171
16, 0.000287, 0.000285, 0.000302, 0.000335, 0.000341, 0.000353
32, 0.000785, 0.000814, 0.000857, 0.000882, 0.000865, 0.000914
64, 0.001958, 0.001988, 0.002114, 0.002148, 0.002190, 0.002276
128, 0.005114, 0.005218, 0.005409, 0.005586, 0.005410, 0.005687
256, 0.013607, 0.013687, 0.014298, 0.014214, 0.014361, 0.014972
512, 0.033285, 0.033770, 0.034887, 0.035292, 0.034670, 0.036293
1024, 0.084311, 0.084665, 0.087984, 0.087976, 0.089369, 0.091803
2048, 0.206468, 0.207599, 0.210290, 0.215899, 0.214947, 0.220385
4096, 0.488704, 0.487909, 0.497372, 0.503698, 0.509289, 0.521060
