Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.278908, 0.267593, 0.202660, 0.373428, 0.270203, 0.203972
16, 0.772263, 0.790306, 0.485054, 0.919380, 0.937263, 0.486183
32, 2.130066, 2.209602, 1.172752, 2.583405, 2.143959, 1.173515
64, 6.030220, 6.097710, 3.790497, 6.609940, 6.817207, 3.999130
128, 16.328293, 16.742508, 10.879814, 17.701027, 16.925804, 10.888939
256, 42.855919, 43.746155, 30.665421, 45.580872, 45.751892, 31.886902
512, 106.699677, 108.398567, 80.431602, 114.688858, 111.699539, 81.054695
1024, 267.048920, 269.540077, 208.005898, 280.111542, 282.043045, 214.214622
2048, 646.771049, 652.317482, 518.821045, 681.591988, 670.305336, 525.031914
4096, 1546.393326, 1558.572701, 1270.748703, 1607.595062, 1617.020866, 1301.805099
