Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000133, 0.000131, 0.000110, 0.000169, 0.000144, 0.000110
16, 0.000265, 0.000271, 0.000183, 0.000322, 0.000324, 0.000184
32, 0.000618, 0.000642, 0.000364, 0.000769, 0.000657, 0.000367
64, 0.001642, 0.001654, 0.001062, 0.001878, 0.001930, 0.001139
128, 0.004388, 0.004464, 0.002901, 0.004899, 0.004711, 0.003027
256, 0.011567, 0.011701, 0.008040, 0.012597, 0.012631, 0.008913
512, 0.029109, 0.029270, 0.021196, 0.032195, 0.031240, 0.022768
1024, 0.073260, 0.073745, 0.054906, 0.079927, 0.080229, 0.060933
2048, 0.180008, 0.180485, 0.137595, 0.195928, 0.192139, 0.149949
4096, 0.435874, 0.437347, 0.338689, 0.464505, 0.467001, 0.373848
