Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 3.981354, 3.337662, 3.175728, 2.671165, 5.017723, 4.067024, 3.829460, 2.757942, 11.792336, 10.390053, 9.509209, 4.839478, 15.464386, 13.362381, 12.086678, 5.607681
200, 7.940834, 6.667236, 6.300995, 5.821945, 9.629799, 7.774467, 7.233788, 5.999878, 31.338188, 27.850868, 30.175468, 15.067314, 40.610397, 35.370605, 38.225983, 18.149315
300, 11.660980, 9.759865, 9.075989, 8.984604, 13.967010, 11.216370, 10.195030, 9.250572, 54.909187, 50.182426, 46.357368, 29.895050, 70.424927, 63.779816, 58.199890, 36.133255
400, 15.768150, 13.237129, 12.513817, 12.419090, 18.629280, 14.974007, 13.895294, 12.699265, 77.421234, 73.894814, 70.206131, 44.784744, 98.437248, 93.175201, 87.778503, 54.124374
500, 20.309471, 17.150932, 16.174011, 16.142693, 23.693153, 19.142570, 17.711731, 16.491341, 102.889961, 96.973465, 95.398636, 64.221443, 130.073486, 121.473534, 119.040123, 78.199944
600, 24.319633, 20.535965, 19.292480, 19.573502, 28.293854, 22.857285, 21.031776, 19.919701, 137.286812, 131.725990, 123.543480, 81.896744, 173.583160, 164.012177, 153.683060, 99.157913
700, 28.306160, 23.890198, 22.385735, 22.941078, 32.837585, 26.487061, 24.293236, 23.330391, 161.167198, 156.459541, 144.996506, 100.099350, 203.060654, 194.464188, 179.807709, 121.184143
800, 32.241112, 27.197632, 25.588524, 26.280357, 37.338524, 30.092690, 27.766777, 26.683609, 191.655182, 183.408409, 190.972092, 118.606781, 241.195427, 227.864212, 236.491814, 143.591522
900, 37.141022, 31.472412, 29.671608, 30.553192, 42.761871, 34.630051, 32.027519, 31.061913, 220.109001, 215.639023, 215.064209, 157.545227, 275.507309, 266.774193, 265.030663, 190.267685
1000, 41.324043, 35.020752, 32.951714, 34.010635, 47.493958, 38.438858, 35.472336, 34.509567, 249.857521, 240.874390, 243.324295, 173.867332, 312.377899, 297.634789, 299.433289, 209.768120
1100, 45.759476, 38.831055, 36.376945, 37.716133, 52.551666, 42.610580, 39.061203, 38.217369, 308.163597, 290.308182, 269.610535, 195.641838, 383.712112, 359.455681, 331.072578, 235.424934
1200, 50.456833, 42.905670, 40.416084, 41.856453, 57.736748, 46.918999, 43.311691, 42.355667, 337.764244, 320.116119, 307.793236, 218.831993, 419.185287, 394.882652, 377.341934, 262.637077
1300, 55.036697, 46.853241, 44.134521, 45.655327, 62.890984, 51.159279, 47.190353, 46.186127, 372.298668, 348.576683, 335.156769, 243.838951, 461.247787, 429.109192, 410.252182, 293.060371
1400, 59.053474, 50.244888, 47.362190, 49.276779, 67.394867, 54.777176, 50.602371, 49.805450, 399.451271, 378.395226, 365.635712, 265.597778, 494.379852, 465.336899, 447.187355, 318.772614
1500, 63.931206, 54.495102, 51.390289, 53.521042, 72.819283, 59.306282, 54.807648, 54.076492, 433.954529, 411.923538, 399.039307, 291.948418, 536.049248, 505.276024, 486.973228, 349.890297
1600, 68.325546, 58.257149, 54.993698, 57.256393, 77.807190, 63.380234, 58.683044, 57.826317, 475.022705, 454.404671, 465.897423, 316.618317, 586.631706, 556.979462, 570.339333, 379.270447
1700, 73.253723, 62.560196, 59.110680, 61.669540, 83.245911, 67.932968, 62.947647, 62.316963, 508.616455, 488.874481, 495.375565, 376.755173, 626.493492, 597.676094, 604.744987, 453.643341
1800, 77.264023, 65.940590, 62.293022, 65.030273, 87.812187, 71.594612, 66.340721, 65.716057, 544.997757, 513.494659, 520.575363, 392.719666, 671.949776, 628.283775, 635.936256, 472.769897
1900, 82.476250, 70.527687, 66.701965, 69.502319, 93.538612, 76.435051, 70.901642, 70.182693, 579.966881, 555.931503, 554.935135, 419.075249, 713.036301, 678.531883, 675.866821, 503.091072
2000, 86.848480, 74.272400, 70.250618, 73.335358, 98.450699, 80.451828, 74.639290, 74.021904, 615.155281, 587.030243, 589.023506, 438.577774, 756.394562, 716.350914, 717.156296, 526.313278
2100, 91.704193, 78.498207, 74.057945, 77.316383, 103.944305, 85.040802, 78.591766, 78.009773, 699.981567, 689.772301, 620.420113, 468.772934, 862.006126, 840.407135, 754.576019, 562.137146
2200, 96.199234, 82.368118, 77.817696, 81.271103, 108.967720, 89.178230, 82.523621, 81.954544, 731.607491, 721.078468, 656.004555, 493.595367, 899.903503, 877.413940, 796.741356, 590.810211
2300, 101.772606, 87.313972, 82.620407, 86.164352, 114.991074, 94.306274, 87.490715, 86.858452, 769.302391, 755.233368, 695.749802, 523.587845, 943.962814, 916.819923, 843.137413, 625.343567
2400, 106.463524, 91.379761, 86.612587, 90.320648, 120.247261, 98.676476, 91.736046, 91.037415, 804.153763, 786.724129, 744.904175, 550.410027, 986.317543, 954.686829, 902.794853, 657.033348
2500, 110.318115, 94.604446, 89.541954, 93.711929, 124.656944, 102.181526, 94.837463, 94.472641, 834.032005, 814.519547, 777.631577, 589.508980, 1023.203140, 988.724998, 942.620972, 704.642754
2600, 115.174423, 98.830849, 93.564758, 98.004013, 130.076439, 106.696388, 99.032578, 98.770737, 878.517700, 865.030113, 807.337013, 612.844299, 1076.552849, 1048.987930, 977.492722, 731.844940
2700, 120.304420, 103.335716, 97.918655, 102.275482, 135.729553, 111.463516, 103.573158, 103.036903, 914.095192, 897.956955, 844.722610, 640.962448, 1119.080414, 1087.864922, 1022.140327, 764.660004
2800, 124.823639, 107.227417, 101.565712, 106.202980, 140.772209, 115.610863, 107.388474, 106.978821, 946.827225, 928.090805, 881.454460, 666.447639, 1158.840981, 1124.294044, 1066.580727, 794.997353
2900, 130.560539, 112.339188, 106.557854, 111.244240, 147.062248, 121.014915, 112.557091, 112.043205, 995.872368, 972.584206, 929.807083, 703.886642, 1216.217300, 1176.084671, 1122.903709, 838.681732
