Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 0.004083, 0.003849, 0.003780, 0.004086, 0.005540, 0.005112, 0.004946, 0.005292, 0.004462, 0.004085, 0.004162, 0.004292, 0.005779, 0.005205, 0.005347, 0.005425
200, 0.010497, 0.009983, 0.010418, 0.010520, 0.013893, 0.013063, 0.013519, 0.013462, 0.010910, 0.010524, 0.010995, 0.011150, 0.013951, 0.013202, 0.013709, 0.013793
300, 0.018036, 0.017367, 0.016623, 0.017106, 0.023832, 0.022544, 0.021363, 0.021891, 0.019203, 0.017858, 0.017390, 0.018074, 0.024287, 0.022350, 0.021485, 0.022260
400, 0.026019, 0.025086, 0.026040, 0.026212, 0.033986, 0.032334, 0.033346, 0.033500, 0.027342, 0.025927, 0.026286, 0.026963, 0.034151, 0.032075, 0.032389, 0.033186
500, 0.034054, 0.032824, 0.033100, 0.034317, 0.044271, 0.042129, 0.042065, 0.043542, 0.035860, 0.033782, 0.034138, 0.035613, 0.044637, 0.041566, 0.041870, 0.043342
600, 0.045387, 0.043662, 0.042115, 0.042904, 0.058571, 0.055822, 0.053340, 0.054163, 0.047113, 0.045692, 0.043435, 0.044583, 0.058396, 0.056111, 0.052766, 0.054276
700, 0.054359, 0.052431, 0.050638, 0.055570, 0.069909, 0.066719, 0.063798, 0.069853, 0.056954, 0.055133, 0.052736, 0.058610, 0.070073, 0.067206, 0.063861, 0.070835
800, 0.065229, 0.063249, 0.065287, 0.065552, 0.083315, 0.079956, 0.081702, 0.082027, 0.068354, 0.066353, 0.068683, 0.069409, 0.083505, 0.080372, 0.082562, 0.083361
900, 0.074691, 0.072287, 0.072635, 0.073712, 0.095361, 0.091335, 0.091164, 0.091983, 0.078044, 0.075575, 0.076736, 0.077810, 0.095337, 0.091507, 0.092367, 0.093352
1000, 0.084252, 0.081669, 0.082284, 0.084811, 0.107648, 0.102921, 0.103214, 0.105974, 0.088519, 0.085603, 0.086739, 0.089328, 0.107575, 0.103384, 0.104117, 0.107087
1100, 0.099902, 0.097175, 0.091545, 0.094497, 0.126957, 0.122385, 0.114173, 0.117905, 0.106293, 0.101211, 0.096267, 0.099640, 0.129119, 0.122799, 0.115705, 0.119318
1200, 0.110506, 0.107461, 0.103665, 0.105043, 0.140334, 0.134974, 0.129054, 0.130582, 0.117137, 0.111318, 0.108699, 0.111199, 0.142212, 0.134574, 0.130216, 0.132629
1300, 0.123166, 0.119789, 0.114499, 0.125712, 0.155922, 0.149568, 0.142165, 0.156370, 0.130818, 0.124180, 0.119982, 0.130877, 0.157673, 0.149547, 0.143305, 0.156581
1400, 0.132686, 0.128865, 0.125032, 0.134797, 0.167515, 0.161027, 0.155257, 0.167242, 0.140155, 0.134052, 0.131069, 0.140665, 0.169153, 0.161149, 0.156135, 0.167819
1500, 0.142735, 0.138921, 0.135019, 0.144737, 0.180328, 0.173351, 0.167472, 0.179250, 0.150862, 0.144335, 0.141869, 0.150919, 0.182315, 0.173143, 0.168721, 0.179954
1600, 0.157868, 0.153706, 0.158252, 0.157314, 0.198411, 0.191391, 0.196084, 0.194151, 0.165908, 0.159194, 0.163990, 0.164501, 0.199853, 0.190483, 0.195755, 0.195601
1700, 0.168315, 0.163985, 0.167395, 0.167747, 0.211773, 0.204177, 0.206725, 0.207612, 0.176855, 0.170373, 0.173109, 0.175128, 0.212729, 0.203498, 0.206579, 0.208265
1800, 0.182117, 0.177412, 0.179145, 0.181151, 0.228002, 0.220418, 0.221183, 0.222407, 0.191624, 0.184233, 0.185618, 0.188453, 0.229928, 0.219678, 0.221194, 0.223567
1900, 0.191360, 0.186286, 0.187160, 0.193745, 0.240427, 0.231976, 0.231035, 0.239452, 0.201339, 0.193372, 0.194181, 0.202502, 0.242146, 0.230926, 0.230998, 0.240775
2000, 0.204382, 0.199038, 0.201202, 0.205134, 0.256042, 0.246813, 0.248385, 0.252702, 0.214585, 0.206605, 0.208599, 0.213926, 0.257202, 0.246231, 0.247816, 0.253327
2100, 0.231049, 0.225665, 0.210980, 0.215729, 0.289268, 0.280004, 0.259442, 0.265650, 0.241106, 0.237158, 0.218953, 0.225710, 0.289713, 0.282441, 0.259924, 0.266965
2200, 0.241789, 0.235872, 0.222684, 0.230159, 0.302964, 0.292818, 0.274033, 0.283022, 0.252608, 0.248183, 0.231088, 0.240354, 0.303608, 0.295182, 0.273768, 0.284663
2300, 0.253284, 0.247597, 0.235389, 0.242755, 0.316629, 0.306364, 0.289119, 0.297987, 0.264444, 0.259022, 0.244218, 0.252928, 0.316716, 0.308109, 0.288907, 0.299204
2400, 0.265514, 0.259335, 0.252033, 0.254713, 0.331672, 0.320858, 0.309542, 0.312157, 0.277217, 0.271222, 0.260433, 0.264703, 0.331914, 0.321895, 0.307980, 0.313054
2500, 0.278150, 0.270729, 0.264725, 0.287147, 0.347795, 0.334825, 0.326304, 0.353026, 0.288664, 0.282409, 0.273367, 0.302157, 0.345711, 0.335116, 0.323116, 0.356821
2600, 0.294908, 0.287890, 0.276879, 0.300232, 0.367337, 0.354843, 0.339254, 0.368630, 0.306386, 0.300891, 0.286565, 0.316357, 0.366590, 0.356473, 0.338144, 0.373063
2700, 0.304954, 0.297366, 0.289278, 0.308690, 0.379408, 0.367088, 0.355270, 0.378761, 0.316504, 0.310799, 0.299171, 0.324290, 0.378970, 0.368195, 0.353552, 0.382366
2800, 0.316501, 0.309215, 0.302065, 0.324195, 0.393772, 0.380871, 0.370027, 0.398241, 0.329255, 0.323342, 0.312353, 0.341050, 0.393344, 0.382134, 0.368457, 0.401751
2900, 0.327702, 0.320050, 0.312627, 0.332087, 0.407403, 0.394375, 0.382476, 0.407303, 0.339970, 0.333233, 0.322456, 0.347767, 0.406533, 0.394963, 0.380691, 0.410020
3000, 0.340554, 0.332836, 0.325019, 0.345349, 0.423508, 0.409590, 0.397741, 0.422387, 0.353505, 0.345808, 0.334715, 0.360247, 0.422980, 0.409462, 0.395092, 0.426315
3100, 0.361830, 0.353322, 0.363936, 0.361634, 0.449317, 0.434585, 0.445923, 0.441924, 0.375758, 0.367029, 0.380814, 0.379787, 0.448875, 0.434326, 0.449067, 0.446290
3200, 0.373575, 0.365706, 0.375524, 0.374641, 0.464529, 0.449344, 0.459593, 0.457583, 0.388685, 0.379212, 0.392626, 0.393059, 0.462489, 0.449000, 0.462412, 0.461820
3300, 0.388443, 0.380102, 0.389601, 0.389001, 0.480799, 0.466307, 0.476084, 0.474643, 0.403667, 0.394581, 0.407424, 0.408387, 0.480386, 0.466129, 0.479604, 0.478722
3400, 0.398858, 0.389787, 0.396883, 0.398348, 0.493963, 0.479615, 0.484896, 0.486248, 0.414885, 0.404676, 0.414892, 0.417268, 0.492791, 0.478068, 0.488806, 0.489640
3500, 0.413745, 0.404056, 0.412975, 0.412907, 0.511939, 0.496777, 0.504226, 0.503542, 0.429029, 0.418661, 0.431152, 0.432154, 0.510726, 0.494717, 0.506396, 0.507164
