Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
32, 1.109589, 1.121178, 1.133209, 1.150421, 1.163513, 1.174065
64, 1.198082, 1.216415, 1.228363, 1.241592, 1.251312, 1.273544
128, 1.309807, 1.316994, 1.328514, 1.353081, 1.355202, 1.373505
256, 1.441254, 1.455681, 1.473663, 1.509758, 1.514328, 1.523094
512, 1.648491, 1.666100, 1.687546, 1.745010, 1.710854, 1.755203
1024, 2.027298, 2.033203, 2.069328, 2.164627, 2.168098, 2.201447
2048, 2.757195, 2.748634, 2.808601, 3.043442, 2.846870, 2.978928
4096, 4.228439, 4.207886, 4.323471, 4.695724, 4.669014, 4.709518
8192, 7.322525, 7.285019, 7.479156, 8.456932, 7.627136, 8.102928
16384, 13.880806, 13.789276, 14.206177, 15.787613, 15.626282, 15.752831
32768, 27.802757, 27.608643, 28.463516, 32.472382, 29.130516, 31.016159
65536, 57.297897, 56.905746, 58.528435, 65.313484, 64.630119, 65.109131
131072, 119.711388, 118.869553, 122.108498, 139.233513, 125.831688, 133.282349
262144, 251.468689, 249.773415, 256.060661, 285.490593, 282.681404, 284.435303
524288, 528.834061, 525.456444, 538.540459, 610.836220, 557.237740, 587.133530
