Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
32, 0.136172, 0.136993, 0.137683, 0.137849, 0.137992, 0.138341
64, 0.138283, 0.138556, 0.138199, 0.139292, 0.144612, 0.144850
128, 0.145167, 0.144849, 0.145421, 0.146027, 0.150334, 0.145916
256, 0.139665, 0.138992, 0.139289, 0.140366, 0.139916, 0.139765
512, 0.158435, 0.158620, 0.158761, 0.158822, 0.162020, 0.150193
1024, 0.150481, 0.151952, 0.151876, 0.155553, 0.155869, 0.155818
2048, 0.152406, 0.153474, 0.153109, 0.154216, 0.153512, 0.153887
4096, 0.158594, 0.159568, 0.160339, 0.160092, 0.160441, 0.160201
8192, 0.171012, 0.171158, 0.170665, 0.172069, 0.172308, 0.173560
16384, 0.199517, 0.212508, 0.213111, 0.212023, 0.213807, 0.214221
32768, 0.275693, 0.278220, 0.280635, 0.276793, 0.278847, 0.280152
65536, 0.422859, 0.428349, 0.431656, 0.424084, 0.427827, 0.431765
131072, 0.752207, 0.765288, 0.769709, 0.751164, 0.759210, 0.767134
262144, 1.489364, 1.513752, 1.531446, 1.487011, 1.507532, 1.521223
524288, 3.126225, 3.173011, 3.204537, 3.116398, 3.156474, 3.196146
