Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
32, 1.108269, 1.119797, 1.125275, 1.149719, 1.161636, 1.164627
64, 1.200523, 1.215912, 1.215683, 1.239815, 1.250908, 1.258080
128, 1.304230, 1.315445, 1.300247, 1.356506, 1.356964, 1.339973
256, 1.437653, 1.451370, 1.416557, 1.506180, 1.511330, 1.455002
512, 1.632301, 1.645653, 1.574776, 1.740555, 1.714798, 1.601433
1024, 1.995560, 1.998772, 1.843559, 2.156868, 2.155075, 1.943085
2048, 2.687935, 2.676376, 2.351921, 3.030220, 2.829491, 2.357841
4096, 4.097961, 4.073395, 3.408386, 4.669655, 4.639542, 3.698647
8192, 7.068718, 7.025185, 5.691750, 8.414131, 7.568405, 5.641754
16384, 13.366508, 13.266701, 10.574295, 15.695724, 15.495575, 11.699524
32768, 26.761108, 26.562378, 21.180992, 32.294525, 28.880302, 21.084641
65536, 55.187088, 54.774857, 43.990082, 64.943245, 64.132217, 48.871529
131072, 115.487068, 114.655884, 93.084084, 138.477272, 124.846031, 93.698830
262144, 243.036499, 241.352783, 198.184601, 283.957985, 280.660889, 219.569511
524288, 512.102509, 508.647850, 422.278763, 607.863068, 553.223763, 428.595085
