Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
32, 0.136687, 0.137557, 0.137791, 0.138069, 0.138557, 0.138538
64, 0.138754, 0.138868, 0.138560, 0.139371, 0.144264, 0.145037
128, 0.144990, 0.144887, 0.146104, 0.145566, 0.145870, 0.145682
256, 0.138829, 0.139628, 0.139548, 0.140299, 0.140129, 0.140135
512, 0.159100, 0.158791, 0.161714, 0.159071, 0.158957, 0.149768
1024, 0.152968, 0.153471, 0.148961, 0.149407, 0.149994, 0.149588
2048, 0.152180, 0.152755, 0.152118, 0.153127, 0.153810, 0.152681
4096, 0.158107, 0.158607, 0.156933, 0.158705, 0.159487, 0.156671
8192, 0.167566, 0.168604, 0.164619, 0.170611, 0.170390, 0.178308
16384, 0.193361, 0.205537, 0.198573, 0.205569, 0.206059, 0.200996
32768, 0.259787, 0.260626, 0.244741, 0.263028, 0.263194, 0.246378
65536, 0.387694, 0.381647, 0.349661, 0.383248, 0.384047, 0.349847
131072, 0.657085, 0.658737, 0.589893, 0.663198, 0.663113, 0.590049
262144, 1.286382, 1.291470, 1.146801, 1.295758, 1.306465, 1.154403
524288, 2.704889, 2.725960, 2.418808, 2.737519, 2.768423, 2.444820
