Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 1.714165, 1.632507, 1.632088, 1.658516, 3.650459, 3.427864, 3.396309, 3.443481, 1.885834, 1.787018, 1.781647, 1.795876, 3.869431, 3.613983, 3.584213, 3.614059
2000, 2.547470, 2.376587, 2.371086, 2.410744, 6.810364, 6.358009, 6.295982, 6.363251, 2.884705, 2.585106, 2.480255, 2.588203, 7.240295, 6.645119, 6.474304, 6.611481
3000, 3.475174, 3.213821, 3.062950, 3.274452, 10.275185, 9.586754, 9.111290, 9.687775, 3.835243, 3.602798, 3.293205, 3.624077, 10.774902, 10.117645, 9.470596, 10.160530
4000, 4.327545, 3.981133, 3.956772, 4.052864, 13.663078, 12.743660, 12.599899, 12.780197, 4.852608, 4.437706, 4.404305, 4.437653, 14.401337, 13.386971, 13.224060, 13.348495
5000, 5.437836, 5.003403, 4.747910, 5.188324, 17.775513, 16.629349, 15.785507, 17.229858, 6.230186, 5.269829, 5.173920, 5.328156, 18.816238, 17.126488, 16.405083, 17.588440
6000, 6.267395, 5.749779, 5.427414, 5.876411, 21.121918, 19.743324, 18.744682, 19.940750, 7.277756, 6.219727, 6.042572, 6.142044, 22.443634, 20.466759, 19.626862, 20.474785
7000, 7.235115, 6.628136, 6.613701, 6.671768, 24.822365, 23.205490, 23.221710, 23.094353, 8.259430, 7.208038, 6.825043, 7.107834, 26.260490, 24.164124, 23.788040, 23.899506
8000, 8.106911, 7.410637, 7.363731, 7.556076, 28.416054, 26.572624, 26.305122, 26.664948, 9.355606, 8.141998, 7.692398, 8.132820, 30.112732, 27.686684, 26.992706, 27.620956
9000, 9.556061, 8.778275, 8.077675, 8.365074, 33.816452, 31.754555, 29.339256, 30.021889, 10.331924, 9.899193, 8.631790, 9.045357, 35.105919, 33.309113, 30.295349, 31.123062
10000, 10.417595, 9.540657, 9.015411, 9.897118, 37.174881, 34.875351, 33.123909, 36.007416, 11.347832, 10.722107, 9.678818, 11.045967, 38.652824, 36.553116, 34.242561, 37.650383
11000, 11.351074, 10.390503, 9.805161, 10.609360, 40.822624, 38.291939, 36.451454, 38.801910, 12.484955, 11.803963, 10.511726, 11.872452, 42.573914, 40.228745, 37.647621, 40.562286
12000, 12.223282, 11.175705, 10.528572, 11.399216, 44.399040, 41.637650, 39.643005, 41.958481, 13.631592, 12.685242, 11.426575, 12.759972, 46.498940, 43.726662, 41.097305, 43.919273
13000, 13.359268, 12.227676, 12.198242, 12.297165, 48.798927, 45.809212, 45.970482, 45.576141, 14.910164, 13.569611, 13.584869, 13.835167, 51.081070, 47.791939, 47.977165, 47.735085
14000, 14.246552, 13.040291, 13.014030, 13.129692, 52.387634, 49.157661, 49.167175, 48.925423, 16.030220, 14.564987, 14.423492, 14.728485, 54.958046, 51.377548, 51.267235, 51.215523
15000, 15.240578, 13.925354, 13.724632, 14.258217, 56.358749, 52.901466, 52.222565, 53.559891, 17.091080, 15.637688, 15.282066, 15.632072, 59.090759, 55.373688, 54.498619, 55.666595
16000, 16.132530, 14.731819, 14.609612, 14.979904, 60.085075, 56.403557, 55.791046, 56.506981, 18.223694, 16.574295, 16.399681, 16.514915, 63.110123, 59.077415, 58.358078, 58.835480
17000, 18.268806, 16.782600, 15.440636, 15.786575, 68.119629, 64.206139, 59.292839, 59.946999, 21.053802, 17.438751, 17.240143, 17.535202, 71.907700, 65.710915, 61.865517, 62.551125
18000, 19.120773, 17.540932, 16.139854, 16.705528, 71.390167, 67.240112, 62.384460, 63.785828, 22.078270, 18.345116, 18.133972, 18.628555, 75.437431, 68.975540, 65.294617, 66.639877
