Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 0.139111, 0.139131, 0.139056, 0.142773, 0.140133, 0.143653, 0.143184, 0.139621, 0.140610, 0.140171, 0.145727, 0.140054, 0.141092, 0.141246, 0.145996, 0.145399
2000, 0.148042, 0.148461, 0.147938, 0.148594, 0.149318, 0.149361, 0.149302, 0.148573, 0.150009, 0.148661, 0.148685, 0.153508, 0.150740, 0.150422, 0.149387, 0.142202
3000, 0.144773, 0.144811, 0.145826, 0.144093, 0.145934, 0.147581, 0.146810, 0.150342, 0.150618, 0.146928, 0.145324, 0.145018, 0.167087, 0.163518, 0.164623, 0.162811
4000, 0.165924, 0.166844, 0.165813, 0.164293, 0.158439, 0.157541, 0.158536, 0.156064, 0.158146, 0.158309, 0.158006, 0.154400, 0.157106, 0.156715, 0.157537, 0.155534
5000, 0.158837, 0.159796, 0.158592, 0.157259, 0.161175, 0.161597, 0.161170, 0.159088, 0.161457, 0.160735, 0.160301, 0.158012, 0.162039, 0.163120, 0.163269, 0.161415
6000, 0.164093, 0.164354, 0.163762, 0.161438, 0.166124, 0.165889, 0.165059, 0.162568, 0.163975, 0.167921, 0.165678, 0.162633, 0.169115, 0.168618, 0.174396, 0.163599
7000, 0.168049, 0.167843, 0.168035, 0.178463, 0.185738, 0.182318, 0.182571, 0.179809, 0.185896, 0.181521, 0.181395, 0.178530, 0.184526, 0.184114, 0.184833, 0.181459
8000, 0.185030, 0.184827, 0.185320, 0.181006, 0.187921, 0.189628, 0.187986, 0.183089, 0.186195, 0.186470, 0.187533, 0.182695, 0.194070, 0.189047, 0.195935, 0.184836
9000, 0.190314, 0.192038, 0.189684, 0.189571, 0.194192, 0.193157, 0.193606, 0.188015, 0.193820, 0.192271, 0.193177, 0.191745, 0.199393, 0.195233, 0.195036, 0.190499
10000, 0.194518, 0.195571, 0.197649, 0.191827, 0.201871, 0.200668, 0.199700, 0.195110, 0.201540, 0.197983, 0.198482, 0.197996, 0.202250, 0.202060, 0.207676, 0.197644
