Size, List.stable_sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.023758, 0.021515, 0.019913, 0.021339, 0.021515, 0.019913, 0.021339, 0.030258, 0.023117, 0.024323
256, 0.053055, 0.048386, 0.045662, 0.049011, 0.048386, 0.045662, 0.049011, 0.060394, 0.057724, 0.059685
512, 0.117508, 0.107895, 0.102493, 0.109116, 0.107895, 0.102493, 0.109116, 0.144028, 0.115509, 0.119904
1024, 0.258133, 0.239525, 0.228539, 0.242325, 0.239525, 0.228539, 0.242325, 0.287933, 0.277740, 0.288612
2048, 0.562820, 0.526268, 0.504936, 0.532524, 0.526268, 0.504936, 0.532524, 0.669418, 0.555649, 0.577774
4096, 1.219070, 1.147499, 1.104996, 1.157051, 1.147499, 1.104996, 1.157051, 1.338715, 1.298538, 1.341377
8192, 2.625320, 2.481766, 2.396965, 2.501022, 2.481766, 2.396965, 2.501022, 3.052231, 2.597305, 2.690987
16384, 5.625320, 5.337410, 5.171608, 5.379784, 5.337410, 5.171608, 5.379784, 6.104340, 5.944336, 6.116516
32768, 12.000320, 11.428825, 11.086647, 11.518120, 11.428825, 11.086647, 11.518120, 13.708481, 11.888962, 12.243713
65536, 25.500320, 24.355499, 23.675812, 24.531792, 24.355499, 23.675812, 24.531792, 27.416840, 26.777634, 27.529991
131072, 54.000320, 51.708183, 50.343269, 52.032906, 51.708183, 50.343269, 52.032906, 60.833481, 53.555573, 54.942886
262144, 114.000320, 109.399979, 106.684158, 110.102219, 109.399979, 106.684158, 110.102219, 121.666840, 119.110931, 121.902817
524288, 240.000320, 230.822662, 225.389786, 232.161148, 230.822662, 225.389786, 232.161148, 267.333481, 238.222229, 243.799416
1048576, 504.000320, 485.636124, 474.787216, 488.283150, 485.636124, 474.787216, 488.283150, 534.666840, 524.444229, 535.546059
2097152, 1056.000320, 1019.318687, 997.579559, 1024.652031, 1019.318687, 997.579559, 1024.652031, 1165.333481, 1048.888931, 1071.178154
