Size, List.stable_sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.000008, 0.000009, 0.000009, 0.000009, 0.000009, 0.000009, 0.000010, 0.000010, 0.000008, 0.000008
256, 0.000022, 0.000025, 0.000024, 0.000026, 0.000024, 0.000023, 0.000024, 0.000023, 0.000021, 0.000022
512, 0.000055, 0.000064, 0.000066, 0.000066, 0.000057, 0.000056, 0.000061, 0.000057, 0.000052, 0.000055
1024, 0.000130, 0.000153, 0.000152, 0.000155, 0.000133, 0.000128, 0.000134, 0.000126, 0.000121, 0.000131
2048, 0.000290, 0.000349, 0.000341, 0.000349, 0.000300, 0.000291, 0.000303, 0.000290, 0.000270, 0.000285
4096, 0.000634, 0.000778, 0.000761, 0.000783, 0.000658, 0.000641, 0.000667, 0.000618, 0.000606, 0.000636
8192, 0.001381, 0.001709, 0.001677, 0.001721, 0.001426, 0.001398, 0.001438, 0.001373, 0.001301, 0.001355
16384, 0.003006, 0.003741, 0.003674, 0.003757, 0.003088, 0.003026, 0.003125, 0.002932, 0.002842, 0.002980
32768, 0.006455, 0.008137, 0.008016, 0.008176, 0.006667, 0.006536, 0.006733, 0.006397, 0.006068, 0.006282
65536, 0.013812, 0.017606, 0.017367, 0.017686, 0.014284, 0.014089, 0.014453, 0.013427, 0.013205, 0.013623
131072, 0.029410, 0.037937, 0.037459, 0.038120, 0.030488, 0.030098, 0.030832, 0.029153, 0.027784, 0.028603
262144, 0.062546, 0.081367, 0.080562, 0.081859, 0.064905, 0.064041, 0.065457, 0.060701, 0.059829, 0.061579
524288, 0.131988, 0.173992, 0.172494, 0.174667, 0.137378, 0.135457, 0.138659, 0.130387, 0.124677, 0.128024
1048576, 0.278117, 0.370984, 0.368029, 0.372688, 0.289977, 0.286190, 0.292297, 0.269845, 0.265832, 0.273140
2097152, 0.584183, 0.787162, 0.780811, 0.790242, 0.610334, 0.602923, 0.614683, 0.576024, 0.552743, 0.565715
