Size, List.stable_sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.023758, 0.017899, 0.017052, 0.011154, 0.017899, 0.017052, 0.011154, 0.030258, 0.023071, 0.012039
256, 0.053055, 0.041794, 0.040009, 0.028069, 0.041794, 0.040009, 0.028069, 0.060394, 0.057724, 0.035522
512, 0.117508, 0.095238, 0.091141, 0.067413, 0.095238, 0.091141, 0.067413, 0.144028, 0.115509, 0.070908
1024, 0.258133, 0.212494, 0.204506, 0.157364, 0.212494, 0.204506, 0.157364, 0.287933, 0.277740, 0.187302
2048, 0.562820, 0.471886, 0.454514, 0.360519, 0.471886, 0.454514, 0.360519, 0.669418, 0.555603, 0.374466
4096, 1.219070, 1.037384, 1.001793, 0.815102, 1.037384, 1.001793, 0.815102, 1.338715, 1.298538, 0.936142
8192, 2.625320, 2.261101, 2.190536, 1.817009, 2.261101, 2.190536, 1.817009, 3.052231, 2.597260, 1.872208
16384, 5.625320, 4.898438, 4.756004, 4.009720, 4.898438, 4.756004, 4.009720, 6.104340, 5.944336, 4.494171
32768, 12.000320, 10.545937, 10.258850, 8.767670, 10.545937, 10.258850, 8.767670, 13.708481, 11.888916, 8.988312
65536, 25.500320, 22.592468, 22.017860, 19.036865, 22.592468, 22.017860, 19.036865, 27.416840, 26.777634, 20.976425
131072, 54.000320, 48.179855, 47.032516, 41.070724, 48.179855, 47.032516, 41.070724, 60.833481, 53.555573, 41.952805
262144, 114.000320, 102.369644, 100.070778, 88.145630, 102.369644, 100.070778, 88.145630, 121.666840, 119.110931, 95.905472
524288, 240.000320, 216.740913, 212.141991, 188.291595, 216.740913, 212.141991, 188.291595, 267.333481, 238.222229, 191.810883
1048576, 504.000320, 457.465370, 448.286385, 400.583710, 457.465370, 448.286385, 400.583710, 534.666840, 524.444229, 431.621689
2097152, 1056.000320, 962.942001, 944.529465, 849.149788, 962.942001, 944.529465, 849.149788, 1165.333481, 1048.888885, 863.243362
