Size, List.stable_sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.000006, 0.000006, 0.000006, 0.000003, 0.000006, 0.000005, 0.000004, 0.000006, 0.000006, 0.000003
256, 0.000014, 0.000016, 0.000016, 0.000011, 0.000016, 0.000016, 0.000011, 0.000016, 0.000015, 0.000010
512, 0.000040, 0.000045, 0.000044, 0.000034, 0.000041, 0.000038, 0.000029, 0.000040, 0.000036, 0.000025
1024, 0.000092, 0.000112, 0.000107, 0.000089, 0.000095, 0.000092, 0.000072, 0.000093, 0.000090, 0.000069
2048, 0.000213, 0.000262, 0.000255, 0.000218, 0.000220, 0.000214, 0.000174, 0.000219, 0.000201, 0.000162
4096, 0.000483, 0.000602, 0.000585, 0.000513, 0.000502, 0.000487, 0.000407, 0.000478, 0.000466, 0.000384
8192, 0.001097, 0.001370, 0.001322, 0.001184, 0.001117, 0.001088, 0.000929, 0.001098, 0.001023, 0.000860
16384, 0.002430, 0.003069, 0.002981, 0.002681, 0.002485, 0.002424, 0.002095, 0.002389, 0.002323, 0.001973
32768, 0.005296, 0.006784, 0.006615, 0.006019, 0.005465, 0.005330, 0.004676, 0.005339, 0.004996, 0.004318
65536, 0.011529, 0.014927, 0.014598, 0.013422, 0.011906, 0.011662, 0.010356, 0.011354, 0.011093, 0.009699
131072, 0.024838, 0.032558, 0.031958, 0.029602, 0.025744, 0.025199, 0.022648, 0.025026, 0.023487, 0.020807
262144, 0.053459, 0.070749, 0.069567, 0.064722, 0.055356, 0.054313, 0.049102, 0.052395, 0.051391, 0.045810
524288, 0.114051, 0.152452, 0.150395, 0.141072, 0.118301, 0.116261, 0.105871, 0.113711, 0.107761, 0.097164
1048576, 0.242050, 0.328019, 0.323256, 0.304865, 0.252314, 0.247789, 0.226919, 0.236541, 0.232273, 0.210832
2097152, 0.511936, 0.701653, 0.694246, 0.656135, 0.534474, 0.525653, 0.484509, 0.509040, 0.485654, 0.441914
