Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 0.004716, 0.006619, 0.006396, 0.006617, 0.006537, 0.006189, 0.006079, 0.006172, 0.006122, 0.005854, 0.005693, 0.005823, 0.005797, 0.005160, 0.004951, 0.004996, 0.004994, 0.005641, 0.005205, 0.005153, 0.005243, 0.004918, 0.004611, 0.004630, 0.004713
50000, 0.010123, 0.014325, 0.013928, 0.014404, 0.014186, 0.013394, 0.013165, 0.013373, 0.013255, 0.012553, 0.012229, 0.012489, 0.012412, 0.011037, 0.010616, 0.010702, 0.010706, 0.011801, 0.011461, 0.011965, 0.011940, 0.010353, 0.010002, 0.010086, 0.010228
75000, 0.015889, 0.022778, 0.022218, 0.021676, 0.021818, 0.021047, 0.020696, 0.020442, 0.020683, 0.019896, 0.019369, 0.018759, 0.018929, 0.017208, 0.016575, 0.016260, 0.016553, 0.019261, 0.017373, 0.017594, 0.017944, 0.016353, 0.015402, 0.015326, 0.015791
100000, 0.021548, 0.030885, 0.030059, 0.030980, 0.030599, 0.028818, 0.028356, 0.028888, 0.028601, 0.026780, 0.026178, 0.026734, 0.026556, 0.023472, 0.022627, 0.022807, 0.022831, 0.025691, 0.023890, 0.023781, 0.024060, 0.022344, 0.021095, 0.021190, 0.021492
125000, 0.027824, 0.039010, 0.038031, 0.038412, 0.038880, 0.036769, 0.036206, 0.036062, 0.036536, 0.033732, 0.032956, 0.032999, 0.033558, 0.029794, 0.028741, 0.028455, 0.029034, 0.032476, 0.030187, 0.029782, 0.030716, 0.028353, 0.026765, 0.026455, 0.027197
150000, 0.033899, 0.049003, 0.047754, 0.046876, 0.047093, 0.045326, 0.044592, 0.044066, 0.044617, 0.042249, 0.041332, 0.040168, 0.040577, 0.036606, 0.035352, 0.034672, 0.035289, 0.038830, 0.039055, 0.036582, 0.037184, 0.034183, 0.033266, 0.032189, 0.033126
175000, 0.039975, 0.057223, 0.055604, 0.054882, 0.057419, 0.053221, 0.052458, 0.051999, 0.053423, 0.049131, 0.048077, 0.046990, 0.049473, 0.042957, 0.041445, 0.040832, 0.042271, 0.045688, 0.045752, 0.042749, 0.047124, 0.040348, 0.039141, 0.037918, 0.040179
200000, 0.045969, 0.066426, 0.064770, 0.066785, 0.065941, 0.062097, 0.061210, 0.062336, 0.061552, 0.057098, 0.055937, 0.056951, 0.056648, 0.049837, 0.048149, 0.048572, 0.048542, 0.053269, 0.052124, 0.054156, 0.054052, 0.046629, 0.045319, 0.045659, 0.046199
225000, 0.052549, 0.074621, 0.072750, 0.074412, 0.073880, 0.070034, 0.069159, 0.069341, 0.069710, 0.063977, 0.062617, 0.063176, 0.063284, 0.056206, 0.054334, 0.054107, 0.054780, 0.059916, 0.058833, 0.059789, 0.060314, 0.052698, 0.051370, 0.050858, 0.052178
250000, 0.059124, 0.083628, 0.081642, 0.082616, 0.083278, 0.078835, 0.077697, 0.077218, 0.078284, 0.071774, 0.070225, 0.070336, 0.071407, 0.063101, 0.060971, 0.060334, 0.061567, 0.067093, 0.065751, 0.066954, 0.066965, 0.059078, 0.057532, 0.056948, 0.058393
275000, 0.065592, 0.096716, 0.094364, 0.090638, 0.091765, 0.089293, 0.088301, 0.085631, 0.087016, 0.082992, 0.081174, 0.077243, 0.078573, 0.071356, 0.069026, 0.066659, 0.068097, 0.080119, 0.072281, 0.073093, 0.073982, 0.067474, 0.063857, 0.062930, 0.064764
300000, 0.071766, 0.104957, 0.102553, 0.100753, 0.101204, 0.097093, 0.095764, 0.094971, 0.095751, 0.089863, 0.088072, 0.085725, 0.086316, 0.077505, 0.074965, 0.073731, 0.074882, 0.086403, 0.078770, 0.079716, 0.081172, 0.073331, 0.069475, 0.069174, 0.075368
325000, 0.082467, 0.120457, 0.117573, 0.115725, 0.123032, 0.112031, 0.110309, 0.109403, 0.114300, 0.102410, 0.100445, 0.097997, 0.104429, 0.089021, 0.086082, 0.084660, 0.089019, 0.098938, 0.090493, 0.091713, 0.093463, 0.084339, 0.079972, 0.079831, 0.082895
350000, 0.089864, 0.130049, 0.126965, 0.125357, 0.130937, 0.121234, 0.119537, 0.118777, 0.121991, 0.110668, 0.103627, 0.105966, 0.111236, 0.096168, 0.093085, 0.091975, 0.095037, 0.107459, 0.098419, 0.099610, 0.100219, 0.091557, 0.086948, 0.086566, 0.088803
375000, 0.096281, 0.132658, 0.129355, 0.127881, 0.140020, 0.130754, 0.128892, 0.128164, 0.130676, 0.118626, 0.116271, 0.113915, 0.118820, 0.103507, 0.100190, 0.098871, 0.096703, 0.109661, 0.101233, 0.101788, 0.102347, 0.093713, 0.088997, 0.088509, 0.090240
400000, 0.098229, 0.143608, 0.140390, 0.144066, 0.142533, 0.133549, 0.131599, 0.133795, 0.132475, 0.122879, 0.120515, 0.122716, 0.121932, 0.106374, 0.102980, 0.103845, 0.103656, 0.116733, 0.109380, 0.108887, 0.109911, 0.100508, 0.095405, 0.095946, 0.097175
425000, 0.105415, 0.152071, 0.148910, 0.151740, 0.150836, 0.141895, 0.139754, 0.140981, 0.140775, 0.130049, 0.127335, 0.129019, 0.128890, 0.118625, 0.114827, 0.115097, 0.115862, 0.129791, 0.121289, 0.120656, 0.122822, 0.112466, 0.106700, 0.106646, 0.108886
450000, 0.118139, 0.169699, 0.166063, 0.160501, 0.159897, 0.150743, 0.157286, 0.157873, 0.158870, 0.144127, 0.141257, 0.142401, 0.142660, 0.126042, 0.122149, 0.121756, 0.123183, 0.138146, 0.129177, 0.127879, 0.130718, 0.119831, 0.113698, 0.112718, 0.112902
475000, 0.119074, 0.171244, 0.167090, 0.168547, 0.171963, 0.169417, 0.167121, 0.166844, 0.168278, 0.152639, 0.149672, 0.149497, 0.150801, 0.133668, 0.123245, 0.121986, 0.124035, 0.139560, 0.130132, 0.128450, 0.132175, 0.120356, 0.114370, 0.113074, 0.116659
500000, 0.125966, 0.180851, 0.176773, 0.178639, 0.180326, 0.169969, 0.167107, 0.166690, 0.168339, 0.154275, 0.151399, 0.151627, 0.153595, 0.134583, 0.130315, 0.129136, 0.131520, 0.147209, 0.137886, 0.136201, 0.139846, 0.127417, 0.121034, 0.120090, 0.122835
525000, 0.132869, 0.200837, 0.196127, 0.187050, 0.189258, 0.184863, 0.182571, 0.175215, 0.177453, 0.171367, 0.168070, 0.158406, 0.161210, 0.146390, 0.141909, 0.135548, 0.138357, 0.155540, 0.158448, 0.143321, 0.147332, 0.135975, 0.133250, 0.126257, 0.129373
550000, 0.139757, 0.208503, 0.203812, 0.196111, 0.198330, 0.191898, 0.189230, 0.184343, 0.186409, 0.177694, 0.174249, 0.166217, 0.168952, 0.152047, 0.147322, 0.142474, 0.145419, 0.161626, 0.163908, 0.150685, 0.154285, 0.141490, 0.138121, 0.132622, 0.136044
575000, 0.147009, 0.216606, 0.211870, 0.205006, 0.208276, 0.200149, 0.197226, 0.193322, 0.195950, 0.184663, 0.181276, 0.173561, 0.177233, 0.158209, 0.153519, 0.149375, 0.152712, 0.168679, 0.178782, 0.165674, 0.169219, 0.155357, 0.151726, 0.146643, 0.150118
