Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 8.444412, 18.293930, 17.101837, 17.607651, 12.338318, 8.863701, 8.005394, 7.965614, 6.274094, 19.641106, 18.782799, 18.985085, 13.204636, 8.863701, 8.005394, 7.965614, 6.274094, 22.214691, 19.570282, 18.556198, 13.732391, 11.151031, 9.275421, 9.029892, 6.875153
50000, 18.032913, 39.063988, 36.679802, 37.699722, 27.154671, 18.870415, 17.153801, 17.076874, 13.691719, 41.948784, 40.232170, 40.645844, 29.077950, 18.870415, 17.153801, 17.076874, 13.691719, 45.950012, 42.958344, 43.916428, 28.916138, 22.301941, 20.839691, 20.348495, 13.750244
75000, 28.966141, 61.933075, 58.356796, 55.929276, 43.898712, 29.640427, 27.065506, 25.648796, 21.700821, 66.546310, 63.971390, 60.255058, 47.069839, 29.640427, 27.065506, 25.648796, 21.700821, 75.278259, 64.309784, 63.695160, 49.331619, 36.499756, 30.873077, 30.528351, 24.086014
100000, 38.354324, 83.101555, 78.333183, 80.352020, 59.265823, 40.032692, 36.599464, 36.436890, 29.671448, 89.254250, 85.821022, 86.625610, 63.493591, 40.032692, 36.599464, 36.436890, 29.671448, 99.543488, 88.978149, 84.917511, 65.606125, 49.181549, 41.679260, 40.697052, 32.078049
125000, 50.942825, 102.787666, 96.827202, 98.626076, 80.078804, 50.187904, 45.896370, 45.039803, 38.946060, 110.301918, 106.010384, 106.281258, 85.954910, 50.187904, 45.896370, 45.039803, 38.946060, 124.739822, 111.654724, 106.405991, 81.042770, 61.664017, 52.286194, 50.976791, 39.090561
150000, 61.365189, 131.308548, 124.155991, 119.278114, 95.242195, 62.716484, 57.566643, 54.726517, 46.835480, 141.107414, 135.957573, 128.499771, 102.157440, 62.716484, 57.566643, 54.726517, 46.835480, 149.032654, 146.161926, 131.951050, 99.685028, 72.999512, 68.612610, 61.056580, 48.172028
175000, 71.092667, 151.930603, 143.585953, 138.143723, 112.621239, 72.995979, 66.987831, 63.928780, 55.440704, 163.206978, 157.198830, 148.745857, 120.789886, 72.995979, 66.987831, 63.928780, 55.440704, 174.847900, 171.413193, 153.534653, 119.403305, 86.338257, 81.220078, 71.368393, 56.200729
200000, 81.285965, 176.110641, 166.573898, 170.648178, 128.459717, 84.643501, 77.777046, 77.461693, 63.923340, 189.177376, 182.310921, 183.960533, 137.679199, 84.643501, 77.777046, 77.461693, 63.923340, 205.169128, 193.209747, 197.046829, 137.035294, 98.362976, 92.513824, 90.549332, 64.156082
225000, 94.446671, 195.754089, 185.025253, 188.923630, 157.242821, 94.842728, 87.117966, 86.093880, 75.703224, 210.169998, 202.445236, 203.613594, 168.891335, 94.842728, 87.117966, 86.093880, 75.703224, 230.649689, 217.198593, 216.981323, 174.437134, 111.007660, 104.427231, 100.725464, 81.578125
250000, 107.607376, 217.986855, 206.065926, 209.654053, 172.557045, 106.099274, 97.516205, 95.803596, 83.615303, 233.970795, 225.387726, 225.918404, 185.263008, 106.099274, 97.516205, 95.803596, 83.615303, 257.345551, 242.163651, 243.487228, 190.534515, 123.327972, 116.016495, 113.397568, 89.625092
