Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.028389, 0.027878, 0.028358, 0.029282, 0.028107, 0.028786
16, 0.030991, 0.030807, 0.030602, 0.032364, 0.032051, 0.031799
32, 0.037178, 0.036880, 0.037674, 0.040726, 0.036865, 0.039299
64, 0.051498, 0.050484, 0.052208, 0.057266, 0.055763, 0.056885
128, 0.085930, 0.084679, 0.088318, 0.099503, 0.083710, 0.092995
256, 0.161934, 0.161163, 0.168686, 0.184708, 0.180092, 0.186508
512, 0.331818, 0.330894, 0.344711, 0.387894, 0.326202, 0.362114
1024, 0.706718, 0.701546, 0.735306, 0.796738, 0.778755, 0.793503
2048, 1.529968, 1.524704, 1.579895, 1.751755, 1.500610, 1.655975
4096, 3.313133, 3.299461, 3.428329, 3.665909, 3.605263, 3.645340
8192, 7.158974, 7.134491, 7.367081, 8.049850, 7.048218, 7.645363
16384, 15.410683, 15.359261, 15.849220, 16.824051, 16.573250, 16.707550
32768, 33.058350, 32.937675, 33.925385, 36.625839, 32.598770, 35.066452
65536, 70.581253, 70.389450, 72.311607, 76.229050, 75.203896, 75.751175
131072, 150.154938, 149.730774, 153.467880, 164.443253, 148.379532, 158.142494
