Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000069, 0.000068, 0.000070, 0.000072, 0.000073, 0.000074
16, 0.000079, 0.000080, 0.000080, 0.000082, 0.000081, 0.000084
32, 0.000104, 0.000106, 0.000109, 0.000111, 0.000109, 0.000111
64, 0.000170, 0.000173, 0.000177, 0.000179, 0.000181, 0.000189
128, 0.000349, 0.000355, 0.000361, 0.000363, 0.000358, 0.000367
256, 0.000774, 0.000796, 0.000812, 0.000789, 0.000807, 0.000831
512, 0.001796, 0.001837, 0.001900, 0.001842, 0.001842, 0.001914
1024, 0.004242, 0.004318, 0.004438, 0.004316, 0.004387, 0.004507
2048, 0.009971, 0.010196, 0.010435, 0.010140, 0.010158, 0.010477
4096, 0.023342, 0.023782, 0.024312, 0.023534, 0.024019, 0.024506
8192, 0.054078, 0.055021, 0.056037, 0.054652, 0.055089, 0.056237
16384, 0.125630, 0.127958, 0.130066, 0.126833, 0.128869, 0.130998
32768, 0.290995, 0.296997, 0.300472, 0.293985, 0.297029, 0.301835
65536, 0.674293, 0.687438, 0.695070, 0.676783, 0.690697, 0.697690
131072, 1.526659, 1.554305, 1.569848, 1.534290, 1.552964, 1.572532
