Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.028275, 0.028038, 0.027138, 0.029282, 0.028107, 0.027176
16, 0.030716, 0.030602, 0.027504, 0.032364, 0.032051, 0.027542
32, 0.036514, 0.036285, 0.028236, 0.041000, 0.036865, 0.028275
64, 0.050377, 0.050072, 0.035606, 0.057083, 0.056679, 0.037323
128, 0.082840, 0.082436, 0.051788, 0.099136, 0.084534, 0.046158
256, 0.154930, 0.153633, 0.095482, 0.182236, 0.179634, 0.103546
512, 0.314697, 0.310410, 0.198868, 0.382217, 0.324921, 0.170151
1024, 0.674767, 0.667213, 0.441780, 0.788315, 0.768867, 0.473557
2048, 1.455856, 1.446678, 0.995262, 1.733261, 1.480652, 0.875198
4096, 3.171432, 3.151146, 2.241867, 3.631577, 3.563606, 2.370514
8192, 6.877769, 6.834541, 5.022003, 7.990707, 6.963257, 4.539230
16384, 14.857063, 14.780807, 11.144775, 16.705673, 16.407722, 11.654831
32768, 31.917007, 31.785141, 24.505501, 36.371323, 32.284332, 22.573425
65536, 68.322693, 68.049248, 53.498329, 75.736221, 74.540688, 55.535950
131072, 145.643036, 145.091454, 115.969360, 163.454483, 147.056549, 108.223053
