Size, CBN.sort2, CBN.sort3, CBN.sortN, CBV.sort2, CBV.sort3, CBV.sortN
8, 0.000070, 0.000070, 0.000066, 0.000073, 0.000072, 0.000067
16, 0.000075, 0.000078, 0.000070, 0.000081, 0.000080, 0.000070
32, 0.000096, 0.000097, 0.000079, 0.000104, 0.000099, 0.000079
64, 0.000152, 0.000154, 0.000116, 0.000161, 0.000164, 0.000119
128, 0.000301, 0.000311, 0.000215, 0.000316, 0.000310, 0.000212
256, 0.000670, 0.000683, 0.000475, 0.000697, 0.000698, 0.000483
512, 0.001547, 0.001570, 0.001138, 0.001611, 0.001590, 0.001129
1024, 0.003726, 0.003763, 0.002823, 0.003816, 0.003850, 0.002847
2048, 0.008842, 0.008928, 0.006909, 0.009078, 0.008968, 0.006835
4096, 0.020811, 0.020960, 0.016661, 0.021164, 0.021339, 0.016713
8192, 0.048629, 0.048958, 0.039814, 0.049499, 0.049223, 0.039395
16384, 0.113115, 0.114473, 0.095165, 0.114279, 0.115535, 0.094864
32768, 0.260945, 0.263928, 0.222861, 0.262140, 0.261693, 0.217843
65536, 0.597576, 0.604622, 0.518190, 0.598207, 0.605554, 0.513680
131072, 1.362751, 1.378558, 1.198191, 1.370245, 1.369088, 1.175246
