Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 0.773766, 0.663139, 0.652603, 0.416443, 2.443459, 2.187798, 2.165138, 1.376534, 0.916733, 0.770676, 0.749687, 0.442215, 2.657959, 2.347389, 2.306328, 1.437439
2000, 1.656120, 1.434868, 1.418488, 0.944244, 5.409927, 4.898682, 4.857895, 3.286148, 1.986771, 1.600266, 1.442673, 0.839569, 5.901642, 5.188095, 4.983032, 3.253441
3000, 2.652847, 2.320969, 2.096313, 1.417366, 8.714127, 7.947296, 7.427658, 5.135475, 3.003372, 2.674881, 2.294327, 1.393219, 9.305412, 8.516937, 7.820450, 5.244469
4000, 3.560036, 3.117531, 3.089455, 2.135712, 11.910675, 10.888260, 10.798752, 7.655998, 4.121719, 3.553238, 3.479973, 2.237885, 12.809303, 11.627785, 11.476654, 7.959297
5000, 4.794640, 4.241508, 3.897888, 2.749664, 15.912262, 14.634262, 13.769836, 9.943489, 5.629181, 4.387100, 4.227478, 2.754959, 17.195518, 15.152969, 14.389893, 10.197617
6000, 5.690590, 5.026833, 4.588623, 3.217064, 19.067680, 17.534096, 16.510796, 11.906433, 6.741928, 5.387863, 5.111465, 3.343964, 20.666069, 18.367630, 17.486824, 12.345398
7000, 6.716156, 5.941772, 5.933372, 4.336250, 22.620926, 20.831757, 20.947639, 15.644333, 7.806396, 6.466110, 5.931343, 3.825577, 24.364944, 21.911163, 21.466187, 15.499084
8000, 7.632797, 6.747787, 6.703766, 4.795410, 25.993500, 23.948746, 23.798607, 17.513474, 8.964554, 7.420731, 6.789139, 4.378128, 28.091850, 25.292862, 24.472328, 17.526176
9000, 9.347046, 8.351410, 7.413795, 5.413208, 31.417465, 29.117126, 26.586212, 19.845245, 9.997772, 9.370636, 7.766678, 5.094971, 32.919075, 30.937622, 27.638733, 20.016930
10000, 10.247345, 9.141083, 8.450745, 6.158424, 34.574524, 32.018600, 30.285522, 22.642265, 11.121902, 10.228607, 8.950890, 5.937347, 36.416092, 33.963707, 31.593384, 22.997574
11000, 11.251373, 10.034485, 9.241325, 6.653954, 38.063377, 35.251869, 33.334396, 24.716621, 12.331558, 11.360947, 9.760620, 6.539612, 40.214638, 37.546547, 34.738876, 25.252037
12000, 12.176323, 10.848808, 9.972893, 7.232246, 41.444389, 38.377296, 36.335480, 27.128578, 13.585678, 12.266953, 10.718735, 7.136276, 44.036057, 40.856590, 38.079109, 27.743805
13000, 13.446838, 12.008698, 11.975060, 9.154602, 45.747414, 42.424736, 42.747475, 33.399170, 15.021530, 13.163254, 13.148964, 9.492752, 48.619316, 44.710648, 45.065575, 34.623520
14000, 14.372360, 12.823593, 12.807434, 9.608315, 49.122658, 45.544395, 45.769661, 35.159325, 16.212997, 14.200073, 13.963058, 10.000748, 52.355888, 48.171638, 48.137825, 36.478058
15000, 15.414680, 13.755287, 13.529938, 10.183998, 52.882538, 49.048691, 48.558044, 37.365303, 17.350784, 15.336807, 14.843048, 10.475998, 56.326920, 51.983994, 51.157326, 38.642792
16000, 16.346039, 14.576019, 14.479980, 10.659546, 56.429024, 52.339592, 52.002930, 39.449005, 18.596664, 16.320358, 16.021507, 11.070389, 60.304893, 55.552444, 54.960464, 40.906792
17000, 19.017082, 17.136436, 15.345703, 11.464043, 64.729599, 60.384583, 55.291321, 42.317810, 21.870911, 17.223526, 16.871277, 12.021317, 69.433151, 62.008896, 58.287361, 44.003868
18000, 19.914154, 17.922882, 16.050194, 12.039291, 67.850372, 63.249771, 58.173462, 44.689552, 22.982513, 18.182678, 17.788498, 12.511505, 72.887939, 65.121429, 61.503647, 46.347633
19000, 20.940681, 18.838783, 17.381279, 12.554230, 71.406425, 66.550240, 62.807266, 46.986069, 24.003967, 19.305344, 18.603279, 13.147919, 76.492767, 68.747345, 65.684792, 48.821220
20000, 21.859428, 19.646904, 18.245995, 13.670120, 74.747421, 69.635651, 66.105339, 50.837852, 25.169922, 20.238541, 19.556946, 13.687958, 80.154907, 72.067200, 69.042625, 52.160446
21000, 23.129898, 20.806747, 18.959526, 14.306160, 79.075684, 73.708328, 68.980682, 53.352814, 26.766830, 21.397980, 20.577545, 14.344742, 84.897888, 76.227173, 72.463730, 54.777306
22000, 23.985748, 21.551971, 19.963631, 14.797890, 82.230278, 76.607338, 72.760025, 55.546227, 27.898300, 22.441818, 21.709328, 15.069885, 88.506126, 79.534950, 76.458549, 57.275314
23000, 25.036446, 22.492043, 20.691200, 15.576637, 86.004570, 80.126045, 75.803032, 58.567902, 28.962936, 23.667358, 22.673355, 15.914062, 92.433823, 83.425240, 79.854515, 60.445023
24000, 25.971626, 23.316597, 21.563370, 16.084251, 89.536301, 83.402191, 79.308662, 60.909065, 30.189499, 24.753464, 23.658585, 16.593521, 96.358932, 87.098145, 83.586266, 63.037804
25000, 27.724556, 24.958900, 25.035027, 16.752403, 95.355888, 88.966194, 90.135086, 63.707054, 31.270599, 26.495438, 24.515617, 17.283249, 101.604332, 92.920967, 91.836510, 65.938339
26000, 28.641312, 25.765030, 25.694183, 20.063156, 98.655113, 92.009834, 92.641518, 73.977737, 32.447464, 27.435440, 25.360535, 17.847595, 105.254143, 96.195297, 94.668732, 73.572998
27000, 29.669693, 26.682785, 26.540855, 20.547241, 102.393211, 95.492348, 95.750031, 75.866516, 33.646927, 28.635773, 26.358795, 18.396942, 109.283386, 100.064354, 97.997261, 75.539963
28000, 30.627327, 27.529793, 27.510078, 21.116882, 105.972443, 98.815994, 99.290886, 78.100754, 34.972931, 29.632889, 27.493568, 19.068054, 113.337410, 103.642693, 101.810837, 77.944473
29000, 31.917641, 28.709480, 28.236710, 21.928932, 110.553070, 103.141037, 102.125839, 81.069901, 36.517273, 30.622116, 28.394989, 19.976013, 118.326836, 107.862839, 104.922127, 81.100723
30000, 32.855362, 29.536575, 29.089722, 22.386719, 114.070076, 106.402458, 105.417068, 83.015800, 37.745529, 31.686661, 29.323776, 20.569794, 122.252480, 111.482414, 108.383575, 83.249054
31000, 33.926613, 30.497200, 30.409500, 22.985016, 118.086731, 110.163528, 110.083427, 85.458687, 38.869858, 32.945618, 30.486397, 21.129822, 126.413818, 115.630241, 112.980423, 85.714836
32000, 34.850441, 31.310402, 31.135742, 23.496178, 121.714760, 113.535973, 112.899101, 87.799049, 40.178177, 34.002701, 31.453415, 21.829224, 130.601212, 119.412422, 116.120628, 88.335388
33000, 39.435898, 35.785233, 31.935516, 24.664642, 135.815453, 127.381081, 116.056274, 91.720406, 41.333984, 39.517395, 32.551529, 22.759705, 141.368317, 134.622841, 119.698418, 92.068405
34000, 40.339928, 36.578636, 33.001213, 25.234581, 138.892220, 130.202263, 120.030632, 94.069389, 42.462875, 40.339203, 33.898521, 23.481628, 144.768166, 137.548401, 124.063660, 94.660248
35000, 41.350960, 37.479042, 33.732536, 25.757072, 142.404793, 133.459251, 123.003380, 96.379715, 43.597412, 41.491455, 34.896851, 24.310303, 148.512367, 141.150261, 127.417320, 97.350166
36000, 42.265541, 38.282997, 34.533936, 26.523140, 145.675697, 136.474571, 126.305946, 99.369194, 44.856934, 42.355438, 35.911636, 25.251083, 152.226471, 144.336311, 131.071739, 100.614937
37000, 43.562584, 39.469414, 36.666542, 27.184013, 150.147987, 140.691277, 133.490974, 102.117165, 46.375549, 43.287720, 38.078773, 25.991180, 157.011215, 148.365440, 138.444504, 103.516251
