Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 0.003733, 0.003637, 0.003689, 0.002709, 0.005121, 0.004890, 0.004924, 0.003500, 0.003871, 0.003724, 0.003762, 0.002719, 0.005256, 0.004955, 0.004965, 0.003489
2000, 0.008838, 0.008603, 0.008702, 0.006619, 0.011970, 0.011497, 0.011568, 0.008558, 0.009108, 0.008743, 0.008747, 0.006535, 0.012182, 0.011548, 0.011519, 0.008405
3000, 0.014716, 0.014413, 0.013984, 0.010826, 0.019793, 0.019074, 0.018423, 0.013945, 0.015064, 0.014715, 0.014148, 0.010779, 0.020081, 0.019322, 0.018483, 0.013769
4000, 0.020679, 0.020258, 0.020451, 0.015993, 0.027717, 0.026734, 0.026840, 0.020649, 0.021090, 0.020605, 0.020768, 0.016046, 0.027925, 0.027012, 0.027172, 0.020588
5000, 0.028122, 0.027568, 0.026824, 0.021222, 0.037427, 0.036226, 0.035060, 0.027332, 0.028812, 0.027714, 0.026997, 0.021204, 0.038285, 0.036372, 0.035105, 0.027304
6000, 0.034453, 0.033780, 0.032918, 0.026052, 0.045690, 0.044257, 0.042957, 0.033488, 0.035352, 0.034097, 0.033377, 0.026087, 0.046834, 0.044650, 0.043330, 0.033544
7000, 0.041417, 0.040593, 0.041501, 0.033569, 0.054825, 0.053187, 0.054159, 0.043242, 0.042375, 0.040937, 0.041615, 0.033132, 0.056014, 0.053501, 0.054270, 0.043055
8000, 0.048314, 0.047358, 0.047870, 0.038356, 0.063932, 0.061905, 0.062354, 0.049295, 0.049492, 0.047793, 0.047983, 0.037895, 0.065271, 0.062429, 0.062428, 0.049028
9000, 0.058425, 0.057380, 0.054311, 0.043927, 0.077301, 0.075006, 0.070676, 0.056497, 0.059151, 0.058231, 0.054619, 0.043819, 0.078350, 0.076148, 0.070796, 0.056127
10000, 0.065373, 0.064329, 0.062626, 0.050802, 0.086293, 0.083921, 0.081316, 0.065101, 0.066326, 0.065359, 0.063193, 0.050649, 0.087524, 0.085193, 0.082003, 0.065009
11000, 0.072562, 0.071409, 0.069558, 0.056108, 0.095648, 0.093085, 0.090143, 0.071795, 0.073402, 0.072518, 0.069922, 0.055620, 0.096334, 0.094204, 0.090318, 0.071412
